# text	codes
张狂	is kg
张罗	is lu
张贴	is tv
弢	ta#19 / ta;y
弥	mn#5 / mn;x
弥勒	mn le
弥合	mn he
弥天大罪	mn tc dy zk
弥天大谎	mn tc dy hg
弥撒	mn sy
弥漫	mn mo
弥留之际	mn lb in jn
弥补	mn bj
弥足珍贵	mn zj iz gk
弦	xc. / xc;m
弦外之音	xc wx in ym
弧	hj#14 / hj;p
弧度	hj dj
弧线	hj xc
弨	va#13 / va;b
弩	nj. / nj;w
弭	mn#18 / mn;g
弯	wo#6 / wo;e
弯头	wo tt
弯度	wo dj
弯曲	wo qj
弯腰	wo ya
弯路	wo lj
弯道	wo da
弯道超车	wo da va ve
弱	ru' / ru;z
弱不禁风	ru bj jm fi
弱于	ru yj
弱冠	ru gh
弱势	ru un
弱势群体	ru un qd tn
弱化	ru hw
弱国	ru gu
弱小	ru xr
弱弱	ru ru
弱旅	ru lk
弱智	ru in
弱水三千只取一瓢饮	ru uk so qc in qj yn pr ym
弱点	ru dc
弱碱	ru jc
弱者	ru ie
弱肉强食	ru rt qg un
弱项	ru xg
弶	jg#23 / jg;e'
弸	pi#21 / pi;w'
弹	do, / to' / do;n / to;n
弹丸	do wo
弹丸之地	do wo in dn
弹出	to vj
弹力	to ln
弹劾	to he
弹压	to yy
弹唱	to vs
弹头	do tt
弹奏	to zt
弹孔	do kq
弹射	to ue
弹尽粮绝	do jm lg jf
弹幕	do mj
弹性	to xl
弹指	to in
弹指一挥间	to in yn hk jc
弹指之间	to in in jc
弹无虚发	do wj xj fy
弹片	do pc
弹珠	do ij
弹窗	to vg
弹簧	to hg
弹药	do ya
弹跳	to tr
弹道	do da
强	qg / qg;e / jg#25 / jg;e,
强中更有强中手	qg iq gi yt qg iq ut
强中自有强中手	qg iq zn yt qg iq ut
强于	qg yj
强人	qg rz
强人所难	qg rz su no
强令	qg ll
强制	qg in
强制性	qg in xl
强力	qg ln
强加	qg jw
强加于人	qg jw yj rz
强劲	qg jm
强势	qg un
强化	qg hw
强吻	qg wz
强国	qg gu
强壮	qg ig
强大	qg dy
强奸	qg jc
强奸民意	qg jc mm yn
强将手下无弱兵	qg jg ut xw wj ru bl
强度	qg dj
强弓劲弩	qg gq jm nj
强弩之末	qg nj in mu
强弱	qg ru
强强	qg qg
强强联合	qg qg lc he
强强联手	qg qg lc ut
强悍	qg ho
强扭的瓜不甜	qg nb de gw bj tc
强敌	qg dn
强暴	qg ba
强有力	qg yt ln
强权	qg qh
强横	qg hi
强求	qg qb
强烈	qg lv
强盗	qg da
强盛	qg vi
强硬	qg yl
强者	qg ie
强行	qg xl
强词夺理	qg cn du ln
强调	qg dr
强身	qg uz
强迫	qg pu
强迫症	qg pu ii
强邻	qg lm
强队	qg dk
强震	qg iz
强项	qg xg
强颜欢笑	qg yo hh xr
弼	bn#26 / bn;o'
彀	gt#14 / gt;l
归	gk' / gk;j
归位	gk wp
归侨	gk qr
归入	gk rj
归功	gk gq
归去	gk qj
归去来兮	gk qj lx xn
归口	gk kt
归咎	gk jb
归国	gk gu
归天	gk tc
归家	gk jw
归宿	gk sj
归属	gk uj
归并	gk bl
归心似箭	gk xm sn jc
归期	gk qn
归来	gk lx
归根	gk gz
归根到底	gk gz da dn
归根结底	gk gz jv dn
归案	gk ar
归档	gk ds
归真返璞	gk iz fo pj
归类	gk lp
归纳	gk ny
归结	gk jv
归罪	gk zk
归西	gk xn
归路	gk lj
归还	gk hh
归途	gk tj
归队	gk dk
归附	gk fj
归降	gk xg
归隐	gk ym
归集	gk jn
归零	gk ll
归顺	gk ud
当	ds / ds;x
当一天和尚撞一天钟	ds yn tc he us ig yn tc iq
当上	ds us
当下	ds xw
当且仅当	ds qv jm ds
当中	ds iq
当之无愧	ds in wj kk
当了	ds le
当事人	ds un rz
当仁不让	ds rz bj rs
当今	ds jm
当代	ds dx
当代文学	ds dx wz xf
当众	ds iq'
当作	ds zu
当先	ds xc
当兵	ds bl
当初	ds vj
当前	ds qc
当务之急	ds wj in jn
当即	ds jn
当啷	ds ls
当地	ds dn
当地政府	ds dn ii fj
当场	ds vs
当夜	ds ye
当天	ds tc
当头	ds tt
当头一棒	ds tt yn bs
当头棒喝	ds tt bs he
当好	ds ha
当官	ds gh
当家	ds jw
当家做主	ds jw zu ij
当局	ds jj
当局者迷	ds jj ie mn
当差	ds vx
当年	ds nc
当庭	ds tl
当归	ds gk
当心	ds xm
当成	ds vi
当我没说	ds wu mp uu
当断不断	ds dh bj dh
当日	ds rn
当时	ds un
当晚	ds wo
当月	ds yf
当朝	ds va
当机立断	ds jn ln dh
当权	ds qh
当权者	ds qh ie
当然	ds ro
当牛做马	ds nb zu my
当真	ds iz
当着	ds ie
当红	ds hq
当耳旁风	ds ah ps fi
当耳边风	ds ah bc fi
当过	ds gu
当选	ds xh
当量	ds lg
当铺	ds pj
当面	ds mc
当面锣对面鼓	ds mc lu dk mc gj
当面鼓对面锣	ds mc gj dk mc lu
录	lj' / lj;l
录像	lj xg'
录入	lj rj
录制	lj in
录取	lj qj
录屏	lj pl
录放	lj fs
录用	lj yq
录音	lj ym
录音机	lj ym jn
录音棚	lj ym pi
彖	th#5 / th;o
彗	hk#21 / hk;w'
彗星	hk xl
彘	in#66 / in;e.
彝	yn#51 / yn;j,
彝族	yn zj
彟	yf#21
形	xl#5 / xl;y
形似	xl sn
形体	xl tn
形势	xl un'
形势比人强	xl un bn rz qg
形势逼人	xl un bn rz
形单影只	xl do yl in
形同	xl tq
形同虚设	xl tq xj ue
形同陌路	xl tq mu lj
形如	xl rj
形容	xl rq
形容枯槁	xl rq kj ga
形式	xl un
形式主义	xl un ij yn
形形色色	xl xl se se
形影不离	xl yl bj ln
形影相吊	xl yl xg dr
形影相随	xl yl xg sk
形态	xl tx
形成	xl vi
形槁心灰	xl ga xm hk
形状	xl ig
形神兼备	xl uz jc bp
形而上	xl ah us
形而上学	xl ah us xf
形而下	xl ah xw
形象	xl xg
形象思维	xl xg sn wp
形貌	xl ma
形迹可疑	xl jn ke yn
彤	tq#14 / tq;g
彦	yo#22 / yo;m'
彧	yj#91 / yj;i.
彩	cx#9 / cx;s
彩云	cx yd
彩信	cx xm
彩印	cx ym
彩喷	cx pz
彩图	cx tj
彩头	cx tt
彩屏	cx pl
彩带	cx dx
彩排	cx px
彩桥	cx qr
彩灯	cx di
彩照	cx ia
彩球	cx qb
彩电	cx dc
彩礼	cx ln'
彩票	cx pr
彩笔	cx bn
彩色	cx se
彩虹	cx hq
彩蛋	cx do'
彩铃	cx ll
彩霞	cx xw
彪	br, / br;y
彪形大汉	br xl dy ho
彪悍	br ho
彬	bm. / bm;x
彬彬有礼	bm bm yt ln
彭	pi. / pi;b
彰	is#13 / is;w
彰显	is xc
影	yl#6 / yl;k
影剧	yl jj
影响	yl xg
影响到	yl xg da
影响力	yl xg ln
影坛	yl to
影城	yl vi
影子	yl zn
影射	yl ue
影星	yl xl
影片	yl pc
影碟	yl dv
影视	yl un
影视作品	yl un zu pm
影迷	yl mn
影院	yl yh
影音	yl ym
彳	vn#36 / vn;w'
彷	ps. / ps;i
彷徨	ps hg
役	yn#27 / yn;i'
彻	ve. / ve;z
彻夜	ve ye
彻夜未眠	ve ye wp mc
彻夜长谈	ve ye vs to
彻夜难眠	ve ye no mc
彻头彻尾	ve tt ve wp
彻底	ve dn
彻彻底底	ve ve dn dn
彻悟	ve wj
彻查	ve vy
彻骨	ve gj
彼	bn#8 / bn;j
彼岸	bn ar
彼此	bn cn
往	ws / ws;q
往上	ws us
往下	ws xw
往东	ws dq
往事	ws un
往前	ws qc
往北	ws bp
往南	ws no
往右	ws yt
往后	ws ht'
往回	ws hk
往外	ws wx
往左	ws zu
往常	ws vs
往年	ws nc
往往	ws ws
往日	ws rn
往日无怨	ws rn wj yh
往来	ws lx
往来款	ws lx kh
往死里打	ws sn ln dy
往西	ws xn
往返	ws fo
征	ii#9 / ii;w
征信	ii xm
征兆	ii ia
征兵	ii bl
征婚	ii hd
征尘	ii vz
征得	ii de
征战	ii io
征收	ii ut
征服	ii fj'
征求	ii qb
征用	ii yq
征程	ii vi
征税	ii uk
征稿	ii ga
征订	ii dl
征询	ii xd
征调	ii dr
征途	ii tj'
征集	ii jn
徂	cj#8 / cj;o
径	jl#16 / jl;m
待	dx, / dx;z
待业	dx ye
待产	dx vo
待人	dx rz
待人接物	dx rz jv wj
待价而沽	dx jw ah gj
待会儿	dx hk ah
待办事项	dx bo un xg
待命	dx ml
待字闺中	dx zn gk iq
待定	dx dl
待客之道	dx ke in da
待批	dx pn
待摊	dx to
待机	dx jn
待机时间	dx jn un jc
待查	dx vy
待续	dx xj
待见	dx jc
待遇	dx yj
徇	xd#17 / xd;c
徇情枉法	xd ql ws fy
徇私枉法	xd sn ws fy
徇私舞弊	xd sn wj bn
很	hz / hz;j
很一般	hz yn bo
很不	hz bj
很不客气	hz bj ke qn
很不幸	hz bj xl
很丑	hz vt
很严	hz yo
很严重	hz yo iq
很久	hz jb
很久以前	hz jb yn qc
很久很久	hz jb hz jb
很久很久以前	hz jb hz jb yn qc
很了不起	hz lr bj qn
很会	hz hk
很低	hz dn
很傻	hz uy
很全	hz qh
很冲	hz vq
很冷	hz li
很凶	hz xq
很努力	hz nj ln
很卡	hz ky
很厚	hz ht
很可能	hz ke ni
很可能是	hz ke ni un
很吵	hz va
很咸	hz xc
很喜欢	hz xn hh
很困	hz kd
很坏	hz hl
很多	hz du
很多人	hz du rz
很多年前	hz du nc qc
很多很多	hz du hz du
很大	hz dy
很奇怪	hz qn gl
很好	hz ha
很妙	hz mr
很容易	hz rq yn
很宽	hz kh
很对	hz dk
很小	hz xr
很少	hz ua
很少人	hz ua rz
很少有人	hz ua yt rz
很巧	hz qr
很差	hz vy
很帅	hz ul
很广	hz gg
很弱	hz ru
很强	hz qg
很忙	hz ms
很快	hz kl
很怕	hz py
很惨	hz co
很想	hz xg
很感兴趣	hz go xl qj
很慢	hz mo
很成问题	hz vi wz tn
很抱歉	hz ba qc
很早	hz za
很明显	hz ml xc
很是	hz un
很晚	hz wo
很暗	hz ar
很有	hz yt
很有可能	hz yt ke ni
很有帮助	hz yt bs ij
很有必要	hz yt bn ya
很有意义	hz yt yn yn
很有道理	hz yt da ln
很松	hz sq
很棒	hz bs
很沉	hz vz
很浅	hz qc
很淡	hz do
很深	hz uz
很清楚	hz ql vj
很漂亮	hz pr lg
很火	hz hu
很烂	hz lo
很烦	hz fo
很烫	hz ts
很热	hz re
很熟	hz uj
很爱	hz an
很爽	hz ug
很牛	hz nb
很猛	hz mi
很甜	hz tc
很痛	hz tq
很白	hz bx
很短	hz dh
很硬	hz yl
很窄	hz ix
很笨	hz bz
很累	hz lp
很美	hz mp
很老	hz la
很胖	hz ps
很脏	hz zs
很薄	hz ba
很贵	hz gk
很近	hz jm
很远	hz yh
很迟	hz vn
很酷	hz kj
很酸	hz sh
很重	hz iq
很重要	hz iq ya
很长	hz vs
很长一段时间	hz vs yn dh un jc
很长时间	hz vs un jc
很难	hz no
很难想象	hz no xg xg
很难理解	hz no ln jv
很难说	hz no uu
很高	hz ga
很黑	hz hp
徉	ys#25 / ys;o'
徊	hl. / hl;i
律	lk, / lk;z
律动	lk dq
律己	lk jn
律师	lk un
律法	lk fy
徐	xj#5 / xj;g
徐娘半老	xj ng bo la
徐州	xj it
徐徐	xj xj
徒	tj#6 / tj;q
徒儿	tj ah
徒劳	tj la
徒劳往返	tj la ws fo
徒劳无功	tj la wj gq
徒劳无益	tj la wj yn
徒呼奈何	tj hj nx he
徒增	tj zi
徒增烦恼	tj zi fo na
徒孙	tj sd
徒弟	tj dn'
徒手	tj ut
徒有其名	tj yt qn ml
徒有其表	tj yt qn br
徒有虚名	tj yt xj ml
徒步	tj bj
徕	lx#9 / lx;r
得	de' / de;p
得不偿失	de bj vs un
得不到	de bj da
得不到的	de bj da de
得主	de ij
得之我幸	de in wu xl
得了	de le
得了便宜还卖乖	de le pc yn hx mx gl
得了吧	de le by
得以	de yn
得体	de tn
得便宜卖乖	de pc yn mx gl
得偿所愿	de vs su yh
得其所哉	de qn su zx
得出	de vj
得分	de fz
得到	de da
得到了	de da le
得力	de ln
得天独厚	de tc dj ht
得失	de un
得失参半	de un co bo
得奖	de jg
得宠	de vq
得寸进尺	de cd jm vn
得当	de ds
得心应手	de xm yl ut
得志	de in'
得悉	de xn
得意	de yn'
得意之作	de yn in zu
得意忘形	de yn ws xl
得意洋洋	de yn ys ys
得意门生	de yn mz ui
得手	de ut
得救	de jb
得有	de yt
得来不易	de lx bj yn
得来全不费工夫	de lx qh bj fp gq fj
得法	de fy
得理不饶人	de ln bj ra rz
得瑟	de se
得病	de bl
得益于	de yn yj
得知	de in
得票	de pr
得罪	de zk
得而复失	de ah fj un
得胜	de ui
得过且过	de gu qv gu
得逞	de vi
得道多助	de da du ij
得道成仙	de da vi xc
得陇望蜀	de lq ws uj
得饶人处且饶人	de ra rz vj qv ra rz
徘	px#5 / px;v
徘徊	px hl
徙	xn#33 / xn;l'
徛	jn#117
徜	vs#23 / vs;o'
徜徉	vs ys
御	yj#15 / yj;o
御寒	yj ho
御林军	yj lm jd
御用	yj yq
徨	hg#15 / hg;c
循	xd#8 / xd;q
循序	xd xj
循序渐进	xd xj jc jm
循循善诱	xd xd uo yt
循环	xd hh
循环往复	xd hh ws fj
循环系统	xd hh xn tq
循规蹈矩	xd gk da jj
徭	ya#26 / ya;f'
微	wp#5 / wp;m
微不足道	wp bj zj da
微乎其微	wp hj qn wp
微信	wp xm'
微光	wp gg
微创	wp vg
微妙	wp mr
微弱	wp ru
微服私访	wp fj sn fs
微末	wp mu
微波炉	wp bu lj
微笑	wp xr
微薄	wp ba
微薄之力	wp ba in ln
微言大义	wp yo dy yn
微调	wp tr
微软	wp rh
微量	wp lg
微雕	wp dr
微风	wp fi'
徵	in#45 / in;i,
德	de, / de;s
德国	de gu
德尔塔	de ah ty
德才兼备	de cx jc bp
德操	de ca
德文	de wz
德昂族	de as zj
德艺双馨	de yn ug xm
德行	de xl
德语	de yj
德阳	de ys
德高望重	de ga ws iq
德黑兰	de hp lo
徼	jr#42 / jr;h
徽	hk#13 / hk;g
徽标	hk br
徽章	hk is'
心	xm' / xm;q
心不在焉	xm bj zx yo
心中	xm iq
心中无数	xm iq wj uj
心中有数	xm iq yt uj
心中有鬼	xm iq yt gk
心乱如麻	xm lh rj my
心事	xm un
心事重重	xm un iq iq
心凉	xm lg
心切	xm qv
心力交瘁	xm ln jr ck
心动	xm dq
心口	xm kt
心口如一	xm kt rj yn
心向往之	xm xg ws in
心回意转	xm hk yn ih
心地善良	xm dn uo lg
心坎	xm ko
心境	xm jl
心声	xm ui'
心外无物	xm wx wj wj
心头	xm tt
心如刀割	xm rj da ge
心如刀绞	xm rj da jr
心如止水	xm rj in uk
心如死灰	xm rj sn hk
心如铁石	xm rj tv un
心存侥幸	xm cd jr xl
心存善念	xm cd uo nc
心存感激	xm cd go jn
心存敬畏	xm cd jl wp
心存疑虑	xm cd yn lk
心存芥蒂	xm cd jv dn
心安	xm ar
心安理得	xm ar ln de
心宽体胖	xm kh tn ps
心寒	xm ho
心平气和	xm pl qn he
心底	xm dn
心得	xm de
心心相印	xm xm xg ym
心怀不轨	xm hl bj gk
心怀叵测	xm hl pu ce
心怀鬼胎	xm hl gk tx
心态	xm tx
心思	xm sn
心急	xm jn'
心急吃不了热豆腐	xm jn vn bj le re dt fj
心急如焚	xm jn rj fz
心急火燎	xm jn hu lr
心悦诚服	xm yf vi fj
心情	xm ql
心惊肉跳	xm jl rt tr
心惊胆战	xm jl do io
心想事成	xm xg un vi
心意	xm yn
心愿	xm yh
心慈手软	xm cn ut rh
心慌	xm hg
心扉	xm fp
心无二用	xm wj ah yq
心无旁骛	xm wj ps wj
心无杂念	xm wj zy nc
心旷神怡	xm kg uz yn
心明眼亮	xm ml yo lg
心智	xm in
心有不甘	xm yt bj go
心有余悸	xm yt yj jn
心有余而力不足	xm yt yj ah ln bj zj
心有灵犀	xm yt ll xn
心有灵犀一点通	xm yt ll xn yn dc tq
心有猛虎	xm yt mi hj
心服口服	xm fj kt fj
心术不正	xm uj bj ii
心机	xm jn
心比天高	xm bn tc ga
心浮气躁	xm fj qn za
心满意足	xm mo yn zj
心潮澎湃	xm va pi px
心潮起伏	xm va qn fj
心灰意冷	xm hk yn li
心灵	xm ll
心灵手巧	xm ll ut qr
心灵鸡汤	xm ll jn ts
心烦	xm fo
心烦意乱	xm fo yn lh
心照不宣	xm ia bj xh
心爱	xm an
心狠	xm hz
心狠手辣	xm hz ut ly
心猿意马	xm yh yn my
心率	xm lk
心理	xm ln'
心理作用	xm ln zu yq
心理准备	xm ln id bp
心理分析	xm ln fz xn
心理压力	xm ln yy ln
心理咨询	xm ln zn xd
心理学	xm ln xf
心理学家	xm ln xf jw
心理年龄	xm ln nc ll
心理承受能力	xm ln vi ut ni ln
心理暗示	xm ln ar un
心理负担	xm ln fj do
心理障碍	xm ln is an
心甘情愿	xm go ql yh
心田	xm tc
心疼	xm ti
心病	xm bl
心痒难挠	xm ys no na
心痛	xm tq
心目	xm mj
心目中	xm mj iq
心直口快	xm in kt kl
心眼	xm yo
心知肚明	xm in dj ml
心碎	xm sk
心神	xm uz
心神不宁	xm uz bj nl
心神不安	xm uz bj ar
心神不定	xm uz bj dl
心神恍惚	xm uz hg hj
心窝	xm wu
心算	xm sh
心素如简	xm sj rj jc
心结	xm jv
心绞痛	xm jr tq
心绪不宁	xm xj bj nl
心肌梗塞	xm jn gi sx
心肝	xm go
心肝宝贝	xm go ba bp
心肠	xm vs
心胆俱裂	xm do jj lv
心胸	xm xq
心胸宽广	xm xq kh gg
心胸狭窄	xm xq xw ix
心胸狭隘	xm xq xw an
心脉	xm mx
心脏	xm zs
心脏病	xm zs bl
心脑血管	xm na xv gh
心腹之患	xm fj in hh
心腹大患	xm fj dy hh
心花怒放	xm hw nj fs
心荡神迷	xm ds uz mn
心虚	xm xj
心血	xm xv
心血来潮	xm xv lx va
心诚则灵	xm vi ze ll
心说	xm uu
心路	xm lj
心路历程	xm lj ln vi
心跳	xm tr
心软	xm rh
心酸	xm sh'
心醉	xm zk
心醉神迷	xm zk uz mn
心里	xm ln
心静自然凉	xm jl zn ro lg
心领神会	xm ll uz hk
心驰神往	xm vn uz ws
心高气傲	xm ga qn au
心魔	xm mu
心黑	xm hp
必	bn, / bn;o
必不可少	bn bj ke ua
必不可缺	bn bj ke qf
必争	bn ii
必争之地	bn ii in dn
必修	bn xb
必先利其器	bn xc ln qn qn
必备	bn bp
必定	bn dl
必将	bn jg
必得	bn de
必有	bn yt
必有后福	bn yt ht fj
必有近忧	bn yt jm yt
必杀	bn uy
必死	bn sn
必死无疑	bn sn wj yn
必然	bn ro
必然性	bn ro xl
必由之路	bn yt in lj
必看	bn ko
必究	bn jb
必经之地	bn jl in dn
必经之路	bn jl in lj
必考	bn ka
必胜	bn ui
必要	bn ya
必要性	bn ya xl
必要的话	bn ya de hw
必读	bn dj
必败	bn bx
必输无疑	bn uj wj yn
必选	bn xh
必需品	bn xj pm
必须	bn xj
忆	yn#29 / yn;e'
忆苦思甜	yn kj sn tc
忉	da#16 / da;s
忌	jn#37 / jn;g'
忌口	jn kt
忌讳	jn hk'
忍	rz. / rz;k
忍一忍	rz yn rz
忍不住	rz bj ij
忍了	rz le'
忍住	rz ij
忍俊不禁	rz jd bj jm
忍受	rz ut
忍心	rz xm
忍忍	rz rz
忍无可忍	rz wj ke rz
忍气吞声	rz qn td ui
忍痛割爱	rz tq ge an
忍着	rz ie
忍耐	rz nx
忍耐力	rz nx ln
忍让	rz rs
忍辱偷生	rz rj tt ui
忍辱求全	rz rj qb qh
忍辱负重	rz rj fj iq
忍饥挨饿	rz jn an ee
忏	vo#10 / vo;z
忏悔	vo hk
忐	to#20 / to;x
忐忑	to te
忐忑不安	to te bj ar
忑	te' / te;o
忒	tp / tp;g
忖	cd. / cd;i
忖度	cd dj
志	in#14 / in;s
志不在此	in bj zx cn
志同道合	in tq da he
志向	in xg'
志在千里	in zx qc ln
志在四方	in zx sn fs
志在必得	in zx bn de
志在高远	in zx ga yh
志士仁人	in un rz rz
志大才疏	in dy cx uj
志得意满	in de yn mo
志愿者	in yh ie
志气	in qn
志趣相投	in qj xg tt
忘	ws#5 / ws;i
忘不了	ws bj lr
忘乎所以	ws hj su yn
忘了	ws le
忘了吧	ws le by
忘光	ws gg
忘其所以	ws qn su yn
忘却	ws qf
忘年之交	ws nc in jr
忘年交	ws nc jr
忘怀	ws hl
忘恩负义	ws er fj yn
忘我	ws wu
忘掉	ws dr
忘本	ws bz
忘记	ws jn
忙	ms / ms;i
忙不忙	ms bj ms
忙不过来	ms bj gu lx
忙不迭	ms bj dv
忙乱	ms lh
忙于	ms yj
忙前忙后	ms qc ms ht
忙吗	ms my
忙啥	ms uy
忙完	ms wo
忙忙碌碌	ms ms lj lj
忙死	ms sn
忙死了	ms sn le
忙活	ms hu
忙着	ms ie
忙碌	ms lj
忙这忙那	ms ie ms ny
忙里偷闲	ms ln tt xc
忝	tc#9 / tc;x
忞	mm#17 / mm;n
忠	iq#7 / iq;m
忠厚	iq ht
忠君爱国	iq jd an gu
忠告	iq ga
忠孝	iq xr
忠孝不能两全	iq xr bj ni lg qh
忠孝节悌	iq xr jv tn
忠实	iq un'
忠心耿耿	iq xm gi gi
忠烈	iq lv
忠肝义胆	iq go yn do
忠臣	iq vz
忠臣不事二主	iq vz bj un ah ij
忠言	iq yo
忠言逆耳	iq yo nn ah
忠诚	iq vi
忠贞	iq iz
忠贞不二	iq iz bj ah
忠贞不渝	iq iz bj yj
忠魂	iq hd
忡	vq#7 / vq;w
忤	wj#38 / wj;x'
忤逆	wj nn'
忧	yt#11 / yt;z
忧伤	yt us
忧喜参半	yt xn co bo
忧国忧民	yt gu yt mm
忧心如焚	yt xm rj fz
忧心忡忡	yt xm vq vq
忧患	yt hh
忧愁	yt vt
忧愤	yt fz
忧烦	yt fo
忧虑	yt lk
忪	sq#18
快	kl / kl;y
快一些	kl yn xv
快一点	kl yn dc
快不了	kl bj le
快乐	kl le'
快了	kl le
快些	kl xv
快人快语	kl rz kl yj
快件	kl jc
快刀斩乱麻	kl da io lh my
快到	kl da
快去	kl qj
快快乐乐	kl kl le le
快意	kl yn
快意恩仇	kl yn er vt
快感	kl go
快慢	kl mo
快慰	kl wp
快报	kl ba
快捷	kl jv
快捷方式	kl jv fs un
快捷键	kl jv jc
快排	kl px
快攻	kl gq
快来	kl lx
快步	kl bj
快步流星	kl bj lb xl
快活	kl hu
快点	kl dc
快照	kl ia
快看	kl ko
快线	kl xc
快艇	kl tl
快要	kl ya
快讯	kl xd
快说	kl uu
快走	kl zt
快跑	kl pa
快车	kl ve
快进	kl jm
快退	kl tk
快递	kl dn
快速	kl sj
快门	kl mz
快餐	kl co
快马	kl my
快马一鞭	kl my yn bc
快马加鞭	kl my jw bc
忭	bc#24 / bc;e'
忮	in#71 / in;p.
忱	vz#11 / vz;a
忳	td#10 / td;u
念	nc' / nc;p
念书	nc uj
念佛	nc fu
念兹在兹	nc zn zx zn
念叨	nc da
念头	nc tt
念念不忘	nc nc bj ws
念念有词	nc nc yt cn
念想	nc xg
念旧	nc jb
念珠	nc ij
念经	nc jl
念诵	nc sq
念错	nc cu
忸	nb#7 / nb;y
忸怩	nb nn
忺	xc#50 / xc;q,
忻	xm#12 / xm;w
忽	hj#11 / hj;a
忽冷忽热	hj li hj re
忽大忽小	hj dy hj xr
忽悠	hj yt
忽明忽暗	hj ml hj ar
忽然	hj ro
忽略	hj lf
忽略不计	hj lf bj jn
忽而	hj ah
忽视	hj un'
忽远忽近	hj yh hj jm
忽闪	hj uo
忽闻	hj wz
忽隐忽现	hj ym hj xc
忾	kx#10 / kx;g
忿	fz#13 / fz;w
怀	hl' / hl;p
怀中	hl iq
怀冤抱屈	hl yh ba qj
怀孕	hl yd
怀念	hl nc
怀恋	hl lc
怀恨	hl hz
怀恨在心	hl hz zx xm
怀想	hl xg
怀才不遇	hl cx bj yj
怀抱	hl ba
怀揣	hl vl
怀旧	hl jb
怀春	hl vd
怀有	hl yt
怀柔	hl rt
怀璧其罪	hl bn qn zk
怀疑	hl yn
怀着	hl ie
怀胎	hl tx
怀表	hl br
怀里	hl ln
态	tx, / tx;m
态度	tx dj
怂	sq. / sq;f
怂包	sq ba
怂恿	sq yq
怃	wj#48 / wj;w,
怄	oj#11 / oj;c
怄气	oj qn
怅	vs#15 / vs;n
怅惘	vs ws
怅然	vs ro
怅然若失	vs ro ru un
怆	vg#6 / vg;o
怆然	vg ro
怊	va#12 / va;l
怍	zu#16 / zu;c
怎	zz / zz;k
怎么	zz me
怎么不行	zz me bj xl
怎么了	zz me le
怎么会	zz me hk
怎么做	zz me zu
怎么写	zz me xv
怎么办	zz me bo
怎么可能	zz me ke ni
怎么回事	zz me hk un
怎么就	zz me jb
怎么得了	zz me de lr
怎么搞	zz me ga
怎么搞的	zz me ga de
怎么查	zz me vy
怎么样	zz me ys
怎么玩	zz me wo
怎么用	zz me yq
怎么看	zz me ko
怎么着	zz me ie
怎么能	zz me ni
怎么说	zz me uu
怎么读	zz me dj
怎么这样	zz me ie ys
怎会	zz hk
怎可	zz ke
怎奈	zz nx
怎敢	zz go
怎敢不低头	zz go bj dn tt
怎样	zz ys
怎样才能	zz ys cx ni
怎知	zz in
怎肯	zz kz
怎能	zz ni
怎能说	zz ni uu
怏	ys#20 / ys;u
怒	nj / nj;z
怒不可遏	nj bj ke ee
怒从心头起	nj cq xm tt qn
怒其不争	nj qn bj ii
怒发冲冠	nj fy vq gh
怒号	nj ha
怒吼	nj ht
怒喝	nj he
怒容	nj rq
怒形于色	nj xl yj se
怒放	nj fs
怒斥	nj vn
怒族	nj zj
怒气	nj qn
怒气冲冲	nj qn vq vq
怒气冲天	nj qn vq tc
怒火	nj hu
怒火万丈	nj hu wo is
怒火中烧	nj hu iq ua
怒目	nj mj
怒目而视	nj mj ah un
怒色	nj se
怒视	nj un
怒骂	nj my
怔	ii#12 / ii;v
怕	py / py;r
怕不怕	py bj py
怕了	py le
怕人	py rz
怕只怕	py in py
怕是	py un
怕死	py sn
怕痒	py ys
怕累	py lp
怕羞	py xb
怕苦	py kj
怕苦怕累	py kj py lp
怕黑	py hp
怖	bj#8 / bj;v
怙	hj#32 / hj;f'
怙恶不悛	hj ee bj qh
怛	dy#16 / dy;a
怜	lc#8 / lc;p
怜悯	lc mm
怜香惜玉	lc xg xn yj
思	sn#5 / sn;y
思不出位	sn bj vj wp
思乡情切	sn xg ql qv
思前想后	sn qc xg ht
思如泉涌	sn rj qh yq
思忖	sn cd
思念	sn nc
思想	sn xg
思想境界	sn xg jl jv
思想家	sn xg jw
思想性	sn xg xl
思春	sn vd
思来想去	sn lx xg qj
思潮	sn va
思潮起伏	sn va qn fj
思索	sn su
思绪	sn xj
思绪万千	sn xj wo qc
思维	sn wp
思维模式	sn wp mu un
思考	sn ka
思考题	sn ka tn
思虑	sn lk
思贤如渴	sn xc rj ke
思路	sn lj
思辨	sn bc
思量	sn lg
怠	dx#11 / dx;q
怠慢	dx mo
怡	yn#40 / yn;c'
怡情	yn ql
怡情悦性	yn ql yf xl
急	jn#13 / jn;o
急不可待	jn bj ke dx
急不可耐	jn bj ke nx
急中生智	jn iq ui in
急了	jn le
急于求成	jn yj qb vi
急人之难	jn rz in no
急促	jn cj
急公好义	jn gq ha yn
急切	jn qv
急功近利	jn gq jm ln
急匆匆	jn cq cq
急忙	jn ms
急急如律令	jn jn rj lk ll
急急忙忙	jn jn ms ms
急惊风撞着慢郎中	jn jl fi ig ie mo ls iq
急救	jn jb
急死了	jn sn le
急流勇退	jn lb yq tk
急用	jn yq
急症	jn ii
