# text	codes
Biu	bb
智者	inie
智者乐水	iilu / inieleuk
智者见智	iiji / iniejcin
智能	inni'
智谋	inmt
晾	lgr / lg#12
晾干	lggo
晾晒	lgux
暂	zo, / zoj
暂不	zobj
暂且	zoqv
暂且不论	zqbl / zoqvbjld
暂代	zodx
暂借	zojv
暂停	zotl
暂免	zomc
暂列	zolv
暂别	zobv
暂告	zoga
暂存	zocd
暂定	zodl
暂居	zojj
暂扣	zokt
暂按	zoar
暂无	zowj
暂时	zoun
暂时性	zuxl / zounxl
暂未	zowp
暂用	zoyq
暂缓	zohh
暂缺	zoqf
暂行	zoxl
暄	xhz / xh#14
暅	gin / gi#12
暇	xwa / xw#10
暌	kkv' / kk#21
暑	ujm' / uj#23
暑假	ujjw
暑期	ujqn
暑热	ujre
暕	jcp. / jc#67
暖	nh / nhi
暖冬	nhdq
暖和	nhhe
暖壶	nhhj
暖床	nhvg
暖意	nhyn
暖暖	nhnh
暖气	nhqn
暖洋洋	nyys, / nhysys
暖流	nhlb
暖炉	nhlj
暖瓶	nhpl
暖胃	nhwp
暖色	nhse
暖阳	nhys
暖风	nhfi
暗	ar. / ari
暗中	ariq
暗中摸索	aims / ariqmusu
暗亏	arkk
暗号	arha
暗合	arhe
暗含	arho
暗哨	arua
暗器	arqn'
暗地	ardn
暗处	arvj
暗夜	arye
暗娼	arvs
暗害	arhx
暗影	aryl
暗恋	arlc
暗探	arto
暗无天日	awtr / arwjtcrn
暗暗	arar
暗杀	aruy
暗格	arge
暗沉	arvz
暗沟	argt
暗流	arlb
暗淡	ardo
暗淡无光	adwg / ardowjgg
暗渡陈仓	advc / ardjvzcs
暗潮	arva
暗潮汹涌	avxy / arvaxqyq
暗疮	arvg
暗礁	arjr
暗示	arun'
暗笑	arxr
暗算	arsh
暗箭伤人	ajur / arjcusrz
暗箭难防	ajnf / arjcnofs
暗箱操作	axcz / arxgcazu
暗红	arhq
暗线	arxc
暗绿	arlk
暗自	arzn'
暗自庆幸	azqx / arznqlxl
暗藏	arcs
暗藏杀机	acuj / arcsuyjn
暗藏玄机	acxj / arcsxhjn
暗讽	arfi
暗语	aryj
暗送秋波	asqb / arsqqbbu
暗通款曲	atkq / artqkhqj
暗道	arda
暗锁	arsu
暗门	armz
暗香疏影	axuy / arxgujyl
暗黄	arhg
暗黑	arhp
暝	mlr / ml#12
暧	ans / an#13
暧昧	anmp
暨	jnc, / jn#59
暨南大学	jndx' / jnnodyxf
暮	mjl / mj#12
暮年	mjnc
暮春	mjvd
暮秋	mjqb
暮色	mjse
暮鼓晨钟	mgvi / mjgjvziq
暲	is#25
暴	bar / ba#5
暴乱	balh
暴力	baln
暴力抗法	blkf / balnksfy
暴动	badq
暴发户	bfhj / bafyhj
暴君	bajd
暴增	bazi
暴徒	batj
暴怒	banj
暴恐	bakq
暴晒	baux
暴死	basn
暴殄天物	bttw / batctcwj
暴虎冯河	bhfh / bahjfihe
暴虐	banf
暴行	baxl
暴跌	badv
暴跳	batr
暴跳如雷	btrl / batrrjlp
暴躁	baza
暴雨	bayj
暴雪	baxf
暴露	balj
暴露出来	blvl / baljvjlx
暴露无遗	blwy / baljwjyn
暴风	bafi
暴风雨	bfyj / bafiyj
暵	hol' / ho#32
暶	xh#37
暹	xck' / xc#30
暾	tdk / td#8
暿	xn#100
曈	tqz' / tq#24
曌	iae / ia#16
曙	uja / uj#30
曙光	ujgg
曙色	ujse
曛	xdj' / xd#28
曜	yai / ya#20
曝	bap / ba#15 / pjp' / pj#27
曝光	bagg'
曦	xnm' / xn#37
曩	ns. / nso
曰	yfa / yf#6
曲	qjr / qj#5
曲不离口	qblk / qjbjlnkt
曲子	qjzn
曲径通幽	qjty / qjjltqyt
曲意逢迎	qyfy / qjynfiyl
曲折	qjie
曲折蜿蜒	qiwy / qjiewoyo
曲曲折折	qqii / qjqjieie
曲棍球	qgqb' / qjgdqb
曲牌	qjpx
曲目	qjmj
曲直	qjin
曲线	qjxc
曲线救国	qxjg / qjxcjbgu
曲终人散	qirs / qjiqrzso
曲艺	qjyn
曲解	qjjv
曲谱	qjpj
曲里八拐	qlbg / qjlnbygl
曲里拐弯	qlgw' / qjlnglwo
曲里拐弯儿	qlga' / qjlnglwoah
曲面	qjmc
曲风	qjfi
曲高和寡	qghg / qjgahegw
曳	yec / ye#11
更	gi / gil
更上一层楼	guyl' / giusyncilt
更上层楼	gucl / giuscilt
更不	gibj
更不可能	gbkn / gibjkeni
更不用说	gbyu / gibjyquu
更不能	gbni / gibjni
更为	giwp
更久	gijb
更低	gidn
更何况	ghkg / gihekg
更何况是	ghku / gihekgun
更具	gijj
更别说	gbuu / gibvuu
更加	gijw
更名	giml
更坏	gihl
更多	gidu
更大	gidy
更好	giha
更宽	gikh
更小	gixr
更少	giua
更差	givy
更年期	gnqn / gincqn
更广	gigg
更应	giyl
更强	giqg
更待何时	gdhu / gidxheun
更快	gikl
更惨	gico
更慢	gimo
更换	gihh
更改	gigx
更新	gixm
更新了	gxle' / gixmle
更新换代	gxhd / gixmhhdx
更早	giza
更是	giun
更是如此	gurc / giunrjcn
更显	gixc
更替	gitn
更有	giyt
更有甚者	gyui / giytuzie
更正	giii
更深	giuz
更短	gidh
更窄	giix
更能	gini
更衣	giyn
更要	giya
更让	girs
更谈不上	gtbu / gitobjus
更进一步	gjyb / gijmynbj
更远	giyh
更迭	gidv
更适合	guhe' / giunhe
更重	giiq
更长	givs
更阑人静	glrj / gilorzjl
更难	gino
更高	giga
曷	hez' / he#26
曹	ca, / caj
曹操	caca
曼	mo, / moe
曼哈顿	mhdd / mohydd
曼妙	momr
曼谷	mogj
曼陀罗	mtlu / motulu
曾	ci / ciw / ziw' / zi#10
曾任	cirz
曾几何时	cjhu' / cijnheun
曾在	cizx
曾孙	cisd
曾对	cidk
曾是	ciun
曾有	ciyt
曾祖	cizj
曾祖母	czmj / cizjmj
曾祖父	czfj / cizjfj
曾经	cijl
曾经沧海	cjch / cijlcshx
曾经沧海难为水	cjcu / cijlcshxnowpuk
曾说	ciuu
替	tn. / tny
替他	tnty
替代	tndx
替你	tnnn
替古人担忧	tgry / tngjrzdoyt
替天行道	ttxd / tntcxlda
替我	tnwu
替换	tnhh
替死鬼	tsgk / tnsngk
替罪羊	tzys / tnzkys
替补	tnbj
替身	tnuz
最	zk / zkz
最不	zkbj
最不容易	zbry / zkbjrqyn
最丑	zkvt
最为	zkwp
最亮	zklg
最优	zkyt
最低	zkdn
最低分	zdfz / zkdnfz
最佳	zkjw
最先	zkxc
最全	zkqh
最具	zkjj
最冷	zkli
最初	zkvj
最前	zkqc
最后	zkht
最后一个	zhyg / zkhtynge
最后一分钟	zhyi / zkhtynfziq
最后一刻	zhyk / zkhtynke
最后一天	zhyt / zkhtyntc
最后一次	zhyc / zkhtyncn
最后一秒	zhym / zkhtynmr
最后关头	zhgt / zkhtghtt
最后时刻	zhuk / zkhtunke
最后通牒	zhtd / zkhttqdv
最喜欢	zxhh' / zkxnhh
最坏	zkhl
最坏的	zhde' / zkhlde
最多	zkdu
最大	zkdy
最大努力	zdnl / zkdynjln
最大可能	zdkn / zkdykeni
最大程度	zdvd / zkdyvidj
最大问题	zdwt / zkdywztn
最大限度	zdxd' / zkdyxcdj
最好	zkha
最好是	zhun' / zkhaun
最好的	zhde / zkhade
最容易	zryn / zkrqyn
最小	zkxr
最少	zkua
最差	zkvy
最弱	zkru
最强	zkqg
最快	zkkl
最怕	zkpy
最想	zkxg
最慢	zkmo
最新	zkxm
最无	zkwj
最早	zkza
最晚	zkwo
最有可能	zykn / zkytkeni
最棒	zkbs
最毒	zkdj
最毒不过妇人心	zdbx / zkdjbjgufjrzxm
最毒妇人心	zdfx / zkdjfjrzxm
最烂	zklo
最热	zkre
最爱	zkan
最短	zkdh
最终	zkiq
最终目标	zimb / zkiqmjbr
最终目的	zimd / zkiqmjdn
最美	zkmp
最能	zkni
最让	zkrs
最贵	zkgk
最起码	zqmy' / zkqnmy
最轻	zkql
最近	zkjm
最远	zkyh
最迟	zkvn
最酷	zkkj
最长	zkvs
最难	zkno
最高	zkga
最高分	zgfz / zkgafz
月	yf / yfp
月下	yfxw
月下老人	yxlr / yfxwlarz
月下花前	yxhq / yfxwhwqc
月中折桂	yiig / yfiqiegk
月亮	yflg
月份	yffz
月供	yfgq
月光	yfgg
月内	yfnp
月刊	yfko
月初	yfvj
月华	yfhw
月台	yftx
月圆	yfyh
月均	yfjd
月如无恨月长圆	yrwy / yfrjwjhzyfvsyh
月子	yfzn
月季	yfjn
月底	yfdn
月息	yfxn
月报	yfba
月明	yfml
月明星稀	ymxx / yfmlxlxn
月月	yfyf
月末	yfmu
月牙	yfyy
月球	yfqb
月白风清	ybfq / yfbxfiql
月票	yfpr
月租	yfzj
月线	yfxc
月经	yfjl
月经不调	yjbt / yfjlbjtr
月结	yfjv
月缺	yfqf
月老	yfla
月色	yfse
月落	yflu
月落星沉	ylxv / yfluxlvz
月薪	yfxm
月食	yfun
月饼	yfbl
月黑杀人	yhur / yfhpuyrz
月黑杀人夜	yhuy / yfhpuyrzye
月黑风高	yhfg / yfhpfiga
有	y' / yt / yty
有一利必有一弊	yylb / ytynlnbnytynbn
有一天	yytc / ytyntc
有一套	yyta / ytynta
有一无二	yywa / ytynwjah
有一次	yycn / ytyncn
有一点	yydc' / ytyndc
有一点点	yydd / ytyndcdc
有一种	yyiq / ytyniq
有一说一	yyuy / ytynuuyn
有一阵子	yyiz' / ytynizzn
有两下子	ylxz / ytlgxwzn
有两把刷子	ylbz / ytlgbyuwzn
有个	ytge
有二说二	yaua / ytahuuah
有些	ytxv
有些东西	yxdx / ytxvdqxn
有些事	yxun' / ytxvun
有些事情	yxuq / ytxvunql
有些人	yxrz / ytxvrz
有些时候	yxuh / ytxvunht
有些问题	yxwt / ytxvwztn
有什么	yum
有伤风化	yufh / ytusfihw
有何	ythe
有何指教	yhij' / ytheinjr
有偿	ytvs
有关	ytgh
有其父必有其子	yqfz / ytqnfjbnytqnzn
有凤来仪	yfly / ytfilxyn
有凭有据	ypyj / ytplytjj
有则改之	yzgi / ytzegxin
有利	ytln'
有利可图	ylkt / ytlnketj
有利无害	ylwh / ytlnwjhx
有利有弊	ylyb / ytlnytbn
有利条件	yltj / ytlntrjc
有别	ytbv
有功	ytgq
有功之臣	ygiv / ytgqinvz
有助	ytij
有助于	yiyj' / ytijyj
有劲	ytjm
有劳	ytla
有勇无谋	yywm / ytyqwjmt
有勇有谋	yyym' / ytyqytmt
有去无回	yqwh / ytqjwjhk
有口无心	ykwx / ytktwjxm
有口皆碑	ykjb / ytktjvbp
有口难分	yknf / ytktnofz
有口难言	ykny / ytktnoyo
有口难辩	yknb / ytktnobc
有句老话	yjlh' / ytjjlahw
有史以来	yuyl' / ytunynlx
有名	ytml
有名无实	ymwu / ytmlwjun
有啥	ytuy
有嘴无心	yzwx / ytzkwjxm
有增无减	yzwj / ytziwjjc
有声有色	yuys / ytuiytse
有备无患	ybwh / ytbpwjhh
有备而来	ybal / ytbpahlx
有多大关系	yddx / ytdudyghxn
有多大必要	yddy / ytdudybnya
有多远滚多远	ydyy / ytduyhgdduyh
有天无日	ytwr / yttcwjrn
有夫之妇	yfif / ytfjinfj
有失偏颇	yupp / ytunpcpu
有头有尾	ytyw / ytttytwp
有头有脸	ytyl' / ytttytlc
有头没脑	ytmn / ytttmpna
有奶便是娘	ynbn' / ytnxbcunng
有如神助	yrui / ytrjuzij
有始有终	yuyi / ytunytiq
有孕在身	yyzu' / ytydzxuz
有完没完	ywmw / ytwompwo
有害	ythx
有害无利	yhwl / ythxwjln
有害无益	yhwy / ythxwjyn
有容乃大	yrnd / ytrqnxdy
有屁就放	ypjf / ytpnjbfs
有屁快放	ypkf / ytpnklfs
有序	ytxj
有待	ytdx
有待商榷	yduq / ytdxusqf
有得必有失	ydbu, / ytdebnytun
有得有失	ydyu / ytdeytun
有心	ytxm
有心无力	yxwl / ytxmwjln
有心栽花花不开	yxzk / ytxmzxhwhwbjkx
有志不在年高	yibg / ytinbjzxncga
有志之士	yiiu / ytininun
有志者事竟成	yiiv / ytinieunjlvi
有恃无恐	yuwk / ytunwjkq
有情有义	yqyy / ytqlytyn
有惊无险	yjwx / ytjlwjxc
有意无意	yywy / ytynwjyn
有意见	yyjc / ytynjc
有感	ytgo
有感而发	ygaf / ytgoahfy
有愧	ytkk
有所	ytsu
有所不知	ysbi / ytsubjin
有所作为	yszw / ytsuzuwp
有损	ytsd
有损无益	yswy / ytsdwjyn
有效	ytxr
有效性	yxxl / ytxrxl
有效期	yxqn' / ytxrqn
有教无类	yjwl / ytjrwjlp
有料	ytlr
有无	ytwj
有时候	yuht / ytunht
有朋自远方来	ypzl / ytpiznyhfslx
有望	ytws
有朝一日	yiyr / ytiaynrn
有期徒刑	yqtx / ytqntjxl
有机可乘	yjkv / ytjnkevi
有机合成	yjhv / ytjnhevi
有机玻璃	yjbl' / ytjnbuln
有权	ytqh
有条不紊	ytbw / yttrbjwz
有条有理	ytyl / yttrytln
有来有往	ylyw / ytlxytws
有板有眼	ybyy / ytboytyo
有根有据	ygyj / ytgzytjj
有案可查	yakv / ytarkevy
有模有样	ymyy, / ytmuytys
有毒	ytdj
有毛病	ymbl / ytmabl
有气无力	yqwl / ytqnwjln
有气没力	yqml / ytqnmpln
有气质	yqin / ytqnin
有氧运动	yyyd' / ytysyddq
有求于	yqyj' / ytqbyj
有求于人	yqyr / ytqbyjrz
有求于你	yqyn' / ytqbyjnn
有求必应	yqby / ytqbbnyl
有没有	ymy, / ymyt / ytmpyt
有法不依	yfby / ytfybjyn
有法可依	yfky / ytfykeyn
有法必依	yfby' / ytfybnyn
有滋有味	yzyw / ytznytwp
有点	ytdc
有点事	ydun' / ytdcun
有点意思	ydys' / ytdcynsn
有点问题	ydwt / ytdcwztn
有理	ytln
有理不在声高	ylbg / ytlnbjzxuiga
有理有据	ylyj' / ytlnytjj
有理由	ylyt' / ytlnyt
有理说不清	yluq / ytlnuubjql
有理走遍天下	ylzx / ytlnztbctcxw
有生之年	yuin / ytuiinnc
有生以来	yuyl / ytuiynlx
有用	ytyq
有病	ytbl
有的人	ydrz / ytderz
有的放矢	ydfu / ytdnfsun
有目共睹	ymgd / ytmjgqdj
有眼不识泰山	yybu' / ytyobjuntxuo
有眼无珠	yywi / ytyowjij
有碍观瞻	yagi / ytanghio
有神	ytuz
有福同享	yftx' / ytfjtqxg
有空	ytkq
有章可循	yikx / ytiskexd
有简打简	yjdj / ytjcdyjc
有线电视	yxdu / ytxcdcun
有缘	ytyh
有缘人	yyrz' / ytyhrz
有缘千里来相会	yyqh' / ytyhqclnlxxghk
有缘无分	yywf / ytyhwjfz
有胆有识	ydyu' / ytdoytun
有脸	ytlc
有色	ytse
有血有肉	yxyr / ytxvytrt
有言在先	yyzx' / ytyozxxc
有识之士	yuiu / ytuninun
有话就说	yhju / ythwjbuu
有话快说	yhku / ythwkluu
有话直说	yhiu' / ythwinuu
有话要说	yhyu / ythwyauu
有说有笑	yuyx / ytuuytxr
有谁	ytup
有负所托	yfst / ytfjsutu
有责	ytze
有趣	ytqj
有过	ytgu
有过之而无不及	ygij / ytguinahwjbjjn
有进无退	yjwt / ytjmwjtk
有鉴于此	yjyc' / ytjcyjcn
有钱	ytqc
有钱人	yqrz' / ytqcrz
有钱能使鬼推磨	yqnm / ytqcniungktkmu
有错	ytcu
有错就改	ycjg / ytcujbgx
有问必答	ywbd / ytwzbndy
有问题	ywtn / ytwztn
有限	ytxc
有限公司	yxgs / ytxcgqsn
有限责任	yxzr / ytxczerz
有限责任公司	yxzs / ytxczerzgqsn
有隙可乘	yxkv / ytxnkevi
有难	ytno
有难同当	yntd / ytnotqds
有零有整	ylyi / ytllytii
有魄力	ypln / ytpuln
有鼻子有眼	ybzy / ytbnznytyo
朋	pi / pif
朋党	pids
朋友	piyt
朋比为奸	pbwj / pibnwpjc
服	fj / fjb
服下	fjxw
服了	fjle
服了你了	flnl / fjlennle
服从	fjcq
服从命令	fcml / fjcqmlll
服你了	fnle / fjnnle
服务	fjwj
服务员	fwyh / fjwjyh
服务器	fwqn / fjwjqn
服务性	fwxl / fjwjxl
服帖	fjtv
服役	fjyn
服服帖帖	fftt / fjfjtvtv
服用	fjyq
服罪	fjzk
服药	fjya
服装	fjig
服软	fjrh
朏	fpm' / fp#30
朐	qjz' / qj#23
朓	trs / tr#15
朔	uu. / uuv
朕	izr / iz#13
朗	ls' / lsi
朗声	lsui
朗朗	lsls
朗朗上口	lluk / lslsuskt
朗朗乾坤	llqk / lslsqckd
朗诵	lssq
朗读	lsdj
望	ws' / wse
望其项背	wqxb / wsqnxgbp
望去	wsqj
望子成龙	wzvl / wsznvilq
望尘莫及	wvmj / wsvzmujn
望山跑死马	wupm / wsuopasnmy
望文生义	wwuy / wswzuiyn
望月	wsyf
望梅止渴	wmik / wsmpinke
望洋兴叹	wyxt / wsysxlto
望眼欲穿	wyyv / wsyoyjvh
望着	wsie
望穿秋水	wvqu / wsvhqbuk
望而却步	waqb / wsahqfbj
望而生畏	wauw / wsahuiwp
望见	wsjc
望远镜	wyjl / wsyhjl
望闻问切	wwwq / wswzwzqv
望风	wsfi
望风披靡	wfpm / wsfipnmn
望风而逃	wfat / wsfiahta
朝	va / var / iar' / ia#17
朝三暮四	isms / iasomjsn
朝上	vaus
朝下	vaxw
朝不保夕	ibbx / iabjbaxn
朝东	vadq
朝中有人好做官	viyg / vaiqytrzhazugh
朝九晚五	ijww / iajbwowj
朝云暮雨	iymy' / iaydmjyj
朝代	vadx
朝令夕改	ilxg / iallxngx
朝令暮改	ilmg / iallmjgx
朝北	vabp
朝南	vano
朝发夕至	ifxi / iafyxnin
朝后	vaht
朝向	vaxg
朝夕	iaxn
朝夕相伴	vxxb / vaxnxgbo
朝夕相处	vxxv, / vaxnxgvj
朝外	vawx
朝天	vatc
朝廷	vatl
朝思暮想	ismx / iasnmjxg
朝拜	vabx
朝政	vaii
朝服	vafj
朝朝暮暮	iimm / iaiamjmj
朝气	iaqn
朝气蓬勃	iqpb / iaqnpibu
朝生暮死	iums / iauimjsn
朝着	vaie
朝秦暮楚	vqmv / vaqmmjvj
朝纲	vags
朝见	vajc
朝贡	vagq
朝过夕改	igxg' / iaguxngx
朝野	vaye
朝闻夕死	iwxs / iawzxnsn
朝阳	iays'
朝霞	iaxw
朝鲜	vaxc
朝鲜族	vxzj / vaxczj
期	qn. / qni / jnic / jn#115
期刊	qnko
期待	qndx
期待已久	qdyj / qndxynjb
期待着	qdie / qndxie
期房	qnfs
期望	qnws
期望值	qwin / qnwsin
期期艾艾	qqaa / qnqnanan
期末	qnmu
期盼	qnpo
期票	qnpr
期许	qnxj
期货	qnhu
期间	qnjc
期限	qnxc
朦	miv / mi#6
朦朦胧胧	mmll' / mimilqlq
朦胧	milq
木	mj, / mjm
木业	mjye
木乃伊	mnyn / mjnxyn
木偶	mjoj
木刻	mjke
木匠	mjjg
木匣	mjxw
木头	mjtt
木头疙瘩	mtgd / mjttgedy
木屋	mjwj
木屑	mjxv
木已成舟	myvi / mjynviit
木料	mjlr
木星	mjxl
木本	mjbz
木本植物	mbiw / mjbzinwj
木材	mjcx
木板	mjbo
木柴	mjvx
木桥	mjqr
木桩	mjig
木桶	mjtq
木棍	mjgd
木棒	mjbs
木炭	mjto
木然	mjro
木片	mjpc
木牌	mjpx
木牛流马	mnlm' / mjnblbmy
木瓜	mjgw
木秀于林	mxyl / mjxbyjlm
木筏	mjfy
木箱	mjxg
木耳	mjah
木船	mjvh
木讷	mjne
木讷寡言	mngy / mjnegwyo
木雕	mjdr
木马	mjmy
未	wp, / wpg
未付	wpfj
未免	wpmc
未卜先知	wbxi / wpbjxcin
未可	wpke
未向	wpxg
未婚	wphd
未婚先孕	whxy / wphdxcyd
未婚夫	whfj / wphdfj
未婚妻	whqn / wphdqn
未完待续	wwdx / wpwodxxj
未定	wpdl
未定之天	wdit' / wpdlintc
未尝	wpvs
未尝不可	wvbk / wpvsbjke
未尽事宜	wjuy' / wpjmunyn
未开	wpkx
未必	wpbn
未成年	wvnc / wpvinc
未成年人	wvnr / wpvincrz
未按	wpar
未接	wpjv
未曾	wpci
未来	wplx
未满	wpmo
未老先衰	wlxu / wplaxcul
未能	wpni
未能免俗	wnms / wpnimcsj
未能如愿	wnry / wpnirjyh
未见	wpjc
未雨绸缪	wyvm / wpyjvtmt
末	muf / mu#5
末了	mule
末代	mudx
末位	muwp
末尾	muwp'
末年	munc
末日	murn
末梢	muua
末流	mulb
末班	mubo'
末班车	mbve' / mubove
末端	mudh
末路	mulj
本	b, / bz / bzo
本乡本土	bxbt / bzxgbztj
本事	bzun
本人	bzrz
本以为	bywp / bzynwp
本位	bzwp
本体	bztn
本分	bzfz
本刊	bzko
本单位	bdwp / bzdowp
本名	bzml
本周	bzit
本命年	bmnc / bzmlnc
本国	bzgu
本土	bztj
本地	bzdn
本场	bzvs
本子	bzzn
本季	bzjn
本家	bzjw
本尊	bzzd
本小利大	bxld / bzxrlndy
本小利微	bxlw / bzxrlnwp
本就	bzjb
本届	bzjv
本年	bznc
本年度	bndj' / bzncdj
本应	bzyl
本当	bzds
本性	bzxl
本性难移	bxny / bzxlnoyn
本息	bzxn
本想	bzxg
本意	bzyn
本报	bzba
本文	bzwz
本无	bzwj
本日	bzrn
本月	bzyf
本期	bzqn
本末倒置	bmdi / bzmudain
本本分分	bbff / bzbzfzfz
本条	bztr
本来	bzlx
本来以为	blyw / bzlxynwp
本来就是	blju / bzlxjbun
本来面目	blmm / bzlxmcmj
本校	bzxr
本案	bzar
本次	bzcn
本源	bzyh
本田	bztc
本相毕露	bxbl, / bzxgbnlj
本省	bzui
本着	bzie
本票	bzpr
本科	bzke
本站	bzio
本类	bzlp
本职工作	bigz / bzingqzu
本能	bzni
本色	bzse
本草纲目	bcgm / bzcagsmj
本行	bzhs
本表	bzbr
本该	bzgx
本质	bzin
本身	bzuz
本轮	bzld
本部	bzbj
本金	bzjm
本钱	bzqc
本门	bzmz
本页	bzye
本领	bzll
札	iyw / iy#8
札幌	iyhg
札记	iyjn
术	uj, / ujz / ijz. / ij#51
术业有专攻	uyyg / ujyeytihgq
术语	ujyj
朱	ijg / ij#8
朱唇	ijvd
朱唇皓齿	ivhv / ijvdhavn
朱砂	ijuy
朱门	ijmz
朱门酒肉臭	imjv / ijmzjbrtvt
朱雀	ijqf
朳	byv' / by#27
朴	pjv / pj#5
朴实	pjun
朴实无华	puwh / pjunwjhw
朴朴实实	ppuu / pjpjunun
朴素	pjsj
朵	du, / dus
朸	lns. / ln#78
机	jn / jni
机不可失	jbku / jnbjkeun
机会	jnhk
机会主义	jhiy / jnhkijyn
机会渺茫	jhmm / jnhkmrms
机修	jnxb
机关	jngh
机关枪	jgqg / jnghqg
机关算尽	jgsj' / jnghshjm
机关算尽太聪明	jgsm / jnghshjmtxcqml
机制	jnin
机动灵活	jdlh / jndqllhu
机动车	jdve' / jndqve
机动车辆	jdvl / jndqvelg
机器	jnqn'
机器人	jqrz / jnqnrz
机场	jnvs
机子	jnzn
机密	jnmn
机床	jnvg
机房	jnfs
机敏	jnmm
机智	jnin'
机构	jngt
机械	jnxv
机械运动	jxyd / jnxvyddq
机灵	jnll
机票	jnpr
机组	jnzj
机缘	jnyh
机缘巧合	jyqh / jnyhqrhe
机舱	jncs
机遇	jnyj'
机顶盒	jdhe / jndlhe
朽	xbo / xb#7
朽木	xbmj
杀	uy / uyf
杀一儆百	uyjb / uyynjlbx
杀了	uyle
杀了个回马枪	ulgq / uylegehkmyqg
杀人	uyrz
杀人不眨眼	urby / uyrzbjiyyo
杀人不见血	urbx / uyrzbjjcxv
杀人偿命	urvm / uyrzvsml
杀人凶手	urxu / uyrzxqut
杀人如麻	urrm / uyrzrjmy
杀人放火	urfh / uyrzfshu
杀人灭口	urmk / uyrzmvkt
杀人越货	uryh / uyrzyfhu
杀价	uyjw
杀伐决断	ufjd / uyfyjfdh
杀伤	uyus
杀光	uygg
杀入	uyrj
杀出	uyvj
杀头	uytt
杀害	uyhx
杀戮	uylj
杀手	uyut
杀手锏	uujc / uyutjc
杀掉	uydr
杀敌	uydn
杀无赦	uwue / uywjue
杀死	uysn
杀毒	uydj
杀气	uyqn
杀气腾腾	uqtt / uyqntiti
杀灭	uymv
杀猪	uyij
杀生	uyui
杀菌	uyjd
杀虫	uyvq
杀跌	uydv
杀身之祸	uuih / uyuzinhu
杀身成仁	uuvr / uyuzvirz
杀青	uyql
杀鸡	uyjn
杀鸡儆猴	ujjh' / uyjnjlht
杀鸡取卵	ujql' / uyjnqjlh
杀鸡吓猴	ujxh / uyjnxwht
杀鸡焉用牛刀	ujyd / uyjnyoyqnbda
杀鸡给猴看	ujgk' / uyjngphtko
杀鸡骇猴	ujhh' / uyjnhxht
杂	zy / zyl
杂七杂八	zqzb / zyqnzyby
杂乱	zylh
杂乱无章	zlwi / zylhwjis
杂事	zyun
杂交	zyjr
杂合	zyhe
杂家	zyjw
杂居	zyjj
杂役	zyyn
杂志	zyin'
杂志社	ziue' / zyinue
杂念	zync
杂感	zygo
杂技	zyjn
杂文	zywz
杂毛	zyma
杂烩	zyhk
杂牌	zypx
杂物	zywj
杂碎	zysk
杂种	zyiq
杂税	zyuk
杂粮	zylg
杂而不乱	zabl / zyahbjlh
杂耍	zyuw
杂色	zyse
杂草	zyca
杂草丛生	zccu / zycacqui
杂谈	zyto
杂货	zyhu
杂货铺	zhpj / zyhupj
杂质	zyin
杂费	zyfp
杂音	zyym
杂项	zyxg
权	qh' / qho
权且	qhqv
权倾朝野	qqvy / qhqlvaye
权利	qhln'
权力	qhln
权势	qhun'
权威	qhwp
权威性	qwxl / qhwpxl
权宜之计	qyij / qhyninjn
权当	qhds
权术	qhuj
权柄	qhbl
权益	qhyn
权臣	qhvz
权衡	qhhi
权衡利弊	qhlb / qhhilnbn
权证	qhii
权谋	qhmt
权贵	qhgk
权重	qhiq
权钱交易	qqjy / qhqcjryn
权限	qhxc
杄	qco, / qc#46
杆	goj / go#7
杆秤	govi
杈	vyn / vy#12
杉	uor / uo#9
杉树	uouj
杌	wjq, / wj#47
李	lnj / ln#7
李代桃僵	ldtj / lndxtajg
李四	lnsn
杏	xlw / xl#13
杏林	xllm
杏眼	xlyo
杏花	xlhw
杏黄	xlhg
材	cx. / cxg
材料	cxlr
材质	cxin
村	cd' / cde
村口	cdkt
村妇	cdfj
村姑	cdgj
村子	cdzn
村官	cdgh'
村寨	cdix
村庄	cdig
村民	cdmm
村舍	cdue
村落	cdlu
村里	cdln
村野	cdye
村野匹夫	cypf / cdyepnfj
村镇	cdiz
村长	cdis
杓	bru / br#11
杕	dnf' / dn#41
杖	isr / is#12
杙	yn#129
杜	djk / dj#6
杜康	djks
杜撰	djih
杜比	djbn
杜绝	djjf
杜鹃	djjh
杞	qnf' / qn#39
杞人忧天	qryt / qnrzyttc
束	ujs / uj#8
束之高阁	uigg / ujingage
束手就擒	uujq / ujutjbqm
束手待毙	uudb / ujutdxbn
束手无策	uuwc / ujutwjce
束手束脚	uuuj' / ujutujjr
束缚	ujfj'
杠	gsk / gs#8
杠杆	gsgo
条	tr / trj
条令	trll
条件	trjc
条例	trln'
条分缕析	tflx / trfzlkxn
条子	trzn
条幅	trfj
条形	trxl
条形码	txmy / trxlmy
条数	truj
条文	trwz
条条	trtr
条条大路通罗马	ttdm / trtrdyljtqlumy
条款	trkh
条目	trmj
条码	trmy
条约	tryf
条规	trgk
来	l' / lx / lxz
来一次	lycn / lxyncn
来不及	lbjn' / lxbjjn
来不及了	lbjl' / lxbjjnle
来不来	lblx / lxbjlx
来世	lxun
来个	lxge
来临	lxlm
来之不易	liby / lxinbjyn
来也匆匆	lycc / lxyecqcq
来了	lxle
来人	lxrz
