rank	char	sound_code	aux_code	input_code	delimited_input	weight
252	管	gh	a	gha	gh;a	7788
253	期	qn	q	qnq	qn;q	11788
254	市	un	j	unj	un;j	4912
255	直	in	x	inx	in;x	3350
256	德	de	f	def	de;f	5691
257	资	zn	i	zni	zn;i	426
258	命	ml	a	mla	ml;a	5143
259	山	uo	z	uoz	uo;z	6028
260	金	jm	x	jmx	jm;x	10139
261	指	in	a	ina	in;a	12332
262	克	ke	f	kef	ke;f	13425
263	许	xj	z	xjz	xj;z	1427
264	统	tq	z	tqz	tq;z	433
265	区	qj	z	qjz	qj;z	14937
266	保	ba	q	baq	ba;q	4971
267	至	in	j	inj	in;j	31732
268	队	dk	z	dkz	dk;z	6614
269	形	xl	i	xli	xl;i	3300
270	社	ue	f	uef	ue;f	3937
271	便	bc	e	bce	bc;e	29912
272	空	kq	z	kqz	kq;z	4409
273	决	jf	y	jfy	jf;y	359
274	治	in	y	iny	in;y	2638
275	展	io	f	iof	io;f	1091
276	马	my	f	myf	my;f	9043
277	科	ke	z	kez	ke;z	4348
278	司	sn	i	sni	sn;i	931
279	五	wj	q	wjq	wj;q	13987
280	基	jn	y	jny	jn;y	2251
281	眼	yo	f	yof	yo;f	3705
282	书	uj	z	ujz	uj;z	45340
283	非	fp	f	fpf	fp;f	38568
284	则	ze	o	zeo	ze;o	70054
285	听	tl	i	tli	tl;i	40801
286	白	bx	q	bxq	bx;q	10933
287	却	qf	y	qfy	qf;y	113483
288	界	jv	a	jva	jv;a	7232
289	达	dy	g	dyg	dy;g	7881
290	光	gg	x	ggx	gg;x	17724
291	放	fs	a	fsa	fs;a	22767
292	强	qg	x	qgx	qg;x	23682
293	即	jn	j	jnj	jn;j	61899
294	像	xg	e	xge	xg;e	96410
295	难	no	a	noa	no;a	13047
296	且	qv	q	qvq	qv;q	73914
297	权	qh	i	qhi	qh;i	3894
298	思	sn	a	sna	sn;a	1366
299	王	ws	i	wsi	ws;i	13117
300	象	xg	p	xgp	xg;p	3200
301	完	wo	r	wor	wo;r	18286
302	设	ue	g	ueg	ue;g	2692
303	式	un	p	unp	un;p	26449
304	色	se	g	seg	se;g	3848
305	路	lj	b	ljb	lj;b	16099
306	记	jn	p	jnp	jn;p	8509
307	南	no	c	noc	no;c	3336
308	品	pm	x	pmx	pm;x	3119
309	住	ij	m	ijm	ij;m	10865
310	告	ga	g	gag	ga;g	1501
311	类	lp	c	lpc	lp;c	51855
312	求	qb	x	qbx	qb;x	8046
313	据	jj	m	jjm	jj;m	10948
314	程	vi	g	vig	vi;g	1154
315	北	bp	g	bpg	bp;g	3172
316	边	bc	a	bca	bc;a	11327
317	死	sn	o	sno	sn;o	19616
318	张	is	x	isx	is;x	15947
319	该	gx	b	gxb	gx;b	67966
320	交	jr	i	jri	jr;i	8677
321	规	gk	g	gkg	gk;g	287
322	万	wo	a	woa	wo;a	91334
323	取	qj	g	qjg	qj;g	7659
324	拉	ly	r	lyr	ly;r	15903
325	格	ge	f	gef	ge;f	3985
326	望	ws	x	wsx	ws;x	3309
327	觉	jf	i	jfi	jf;i	1479
328	术	uj	m	ujm	uj;m	3287
329	领	ll	i	lli	ll;i	3779
330	共	gq	z	gqz	gq;z	11994
331	确	qf	i	qfi	qf;i	850
332	传	vh	i	vhi	vh;i	6270
333	师	un	k	unk	un;k	4910
334	观	gh	i	ghi	gh;i	2517
335	清	ql	x	qlx	ql;x	4069
336	今	jm	k	jmk	jm;k	4694
337	切	qv	x	qvx	qv;x	4742
338	院	yh	i	yhi	yh;i	3003
339	让	rs	i	rsi	rs;i	171499
340	识	un	o	uno	un;o	597
341	候	ht	x	htx	ht;x	358
342	带	dx	g	dxg	dx;g	35972
343	导	da	f	daf	da;f	827
344	争	ii	f	iif	ii;f	2453
345	运	yd	x	ydx	yd;x	1531
346	笑	xr	p	xrp	xr;p	11737
347	飞	fp	r	fpr	fp;r	5448
348	风	fi	f	fif	fi;f	8721
349	步	bj	m	bjm	bj;m	4248
350	改	gx	m	gxm	gx;m	11376
351	收	ut	x	utx	ut;x	8112
352	根	gz	j	gzj	gz;j	4698
353	干	go	l	gol	go;l	16397
354	造	za	r	zar	za;r	4337
355	言	yo	r	yor	yo;r	2944
356	联	lc	p	lcp	lc;p	704
357	持	vn	k	vnk	vn;k	2347
358	组	zj	z	zjz	zj;z	16638
359	每	mp	f	mpf	mp;f	18006
360	济	jn	k	jnk	jn;k	221
361	车	ve	r	ver	ve;r	28616
362	亲	qm	x	qmx	qm;x	3970
363	极	jn	l	jnl	jn;l	4836
364	林	lm	j	lmj	lm;j	4561
365	服	fj	m	fjm	fj;m	3361
366	快	kl	p	klp	kl;p	29689
367	办	bo	m	bom	bo;m	3889
368	议	yn	o	yno	yn;o	281
