# Simplified Chinese character-reading weights extracted from Baishuang 8105.
# Columns: character<TAB>sit_initial_key<TAB>source_weight<TAB>pinyin
镑	b	542	bang
镔	b	2	bin
镖	b	235	biao
镚	b	0	beng
镳	b	23	biao
闭	b	312	bi
阪	b	46	ban
陂	b	18	bei
陛	b	43	bi
雹	b	15	bao
霸	b	391	ba
靶	b	718	ba
靽	b	0	ban
鞁	b	0	bei
鞭	b	439	bian
鞴	b	4	bei
颁	b	251	ban
飑	b	1	biao
飙	b	502	biao
饱	b	829	bao
饼	b	2981	bing
饽	b	1	bo
馝	b	1	bi
馞	b	1	bo
驳	b	208	bo
骉	b	18	biao
骠	b	8	biao
髀	b	29	bi
髌	b	13	bin
鬓	b	116	bin
魃	b	58	ba
鲃	b	12	ba
鲅	b	5	ba
鲌	b	1	bo
鲍	b	465	bao
鲾	b	1	bi
鳊	b	5	bian
鳔	b	25	biao
鳖	b	478	bie
鸨	b	21	bao
鹁	b	5	bo
鹎	b	6	bei
鼻	b	1091	bi
龅	b	8	bao
𠳐	b	0	bang
𨚕	b	0	bian
𨭉	b	0	ban
𬇙	b	0	bei
𬭛	b	0	bo
𬷕	b	0	bu
𰻝	b	0	biang
䅟	c	0	can
丛	c	152	cong
从	c	412357	cong
仓	c	1766	cang
伧	c	3	cang
伺	c	22	ci
佽	c	2	ci
侧	c	2863	ce
促	c	352	cu
偲	c	23	cai
催	c	2044	cui
兹	c	3	ci
册	c	2182	ce
凑	c	2627	cou
刺	c	1859	ci
匆	c	4	cong
卒	c	30	cu
厕	c	72	ce
厝	c	98	cuo
参	c	689	can
呲	c	609	ci
啐	c	85	cui
嘈	c	67	cao
噌	c	184	ceng
嚓	c	32	ca
囱	c	3	cong
存	c	3919	cun
寸	c	5686	cun
层	c	11066	ceng
屮	c	106	cao
岑	c	86	cen
崔	c	1255	cui
嵯	c	7	cuo
嶒	c	0	ceng
差	c	4	ci
彩	c	475	cai
徂	c	31	cu
忖	c	6	cun
恻	c	8	ce
悰	c	20	cong
悴	c	9	cui
惨	c	2574	can
惭	c	30	can
慈	c	122	ci
才	c	92394	cai
挫	c	390	cuo
措	c	63	cuo
搓	c	1775	cuo
摧	c	85	cui
撮	c	91	cuo
撺	c	14	cuan
操	c	1627	cao
擦	c	3055	ca
攒	c	45	cuan
曹	c	1582	cao
曾	c	13871	ceng
材	c	699	cai
村	c	2950	cun
枞	c	17	cong
棤	c	0	cuo
榱	c	2	cui
槽	c	1850	cao
次	c	41345	ci
此	c	16871	ci
殂	c	34	cu
残	c	823	can
毳	c	27	cui
汆	c	180	cuan
沧	c	45	cang
泚	c	86	ci
测	c	2329	ce
涔	c	9	cen
淙	c	5	cong
淬	c	78	cui
漕	c	50	cao
漼	c	5	cui
灿	c	80	can
熜	c	5	cong
爨	c	49	cuan
猜	c	2807	cai
猝	c	35	cu
玼	c	18	ci
琮	c	72	cong
瑳	c	16	cuo
璀	c	24	cui
璁	c	14	cong
璨	c	21	can
瓷	c	293	ci
疵	c	39	ci
痤	c	20	cuo
瘁	c	8	cui
皴	c	50	cun
睬	c	35	cai
矬	c	51	cuo
磁	c	864	ci
磋	c	4	cuo
祠	c	293	ci
窜	c	825	cuan
策	c	408	ce
篡	c	176	cuan
簇	c	338	cu
粗	c	3033	cu
粲	c	86	can
粹	c	48	cui
糍	c	15	ci
糙	c	468	cao
缞	c	5	cui
翠	c	176	cui
聪	c	179	cong
肏	c	20	cao
脆	c	861	cui
脞	c	2	cuo
腠	c	3	cou
舱	c	1047	cang
艚	c	6	cao
艹	c	1444	cao
芔	c	26	cao
苁	c	3	cong
苍	c	150	cang
茈	c	3	ci
茨	c	849	ci
草	c	3669	cao
莝	c	0	cuo
莿	c	1	ci
菜	c	12774	cai
萃	c	100	cui
葱	c	1102	cong
蔟	c	17	cu
蔡	c	1099	cai
藏	c	2772	cang
蚕	c	130	can
螬	c	0	cao
裁	c	703	cai
词	c	18227	ci
财	c	989	cai
赐	c	1050	ci
跐	c	11	ci
踩	c	6220	cai
蹉	c	82	cuo
蹙	c	167	cu
蹭	c	3749	ceng
蹴	c	49	cu
蹿	c	254	cuan
辏	c	3	cou
辞	c	450	ci
邨	c	47	cun
醋	c	1823	cu
采	c	803	cai
锉	c	90	cuo
错	c	7975	cuo
镩	c	1	cuan
雌	c	359	ci
餐	c	948	can
骖	c	38	can
骢	c	18	cong
鸧	c	4	cang
鹚	c	1	ci
鹾	c	5	cuo
黪	c	18	can
𤭢	c	0	cei
𥕢	c	0	cao
𫚖	c	0	ci
㙍	d	0	duo
㨃	d	0	dui
䃅	d	0	di
䗖	d	0	di
丁	d	2348	ding
东	d	3606	dong
丢	d	5100	diu
丹	d	806	dan
亶	d	62	dan
亸	d	4	duo
仃	d	5	ding
代	d	10664	dai
佃	d	21	dian
但	d	516846	dan
低	d	27259	di
侗	d	104	dong
倒	d	9110	dao
傣	d	39	dai
儋	d	22	dan
兑	d	1167	dui
党	d	5095	dang
兜	d	827	dou
典	d	356	dian
冬	d	1086	dong
冻	d	1086	dong
凋	d	95	diao
凳	d	237	deng
凼	d	32	dang
刀	d	11412	dao
刁	d	327	diao
到	d	322254	dao
剁	d	702	duo
剟	d	1	duo
动	d	4594	dong
单	d	11707	dan
厾	d	4	du
叇	d	0	dai
叠	d	1377	die
叨	d	151	dao
叮	d	718	ding
叼	d	879	diao
吊	d	1550	diao
吨	d	5262	dun
呆	d	7097	dai
呔	d	53	dai
咄	d	29	duo
咚	d	559	dong
哆	d	85	duo
哒	d	3240	da
哚	d	2	duo
啖	d	134	dan
啶	d	11	ding
喋	d	8	die
嗒	d	184	da
嗲	d	182	dia
嘀	d	83	di
嘚	d	104	de
嘟	d	191	du
噔	d	64	deng
囤	d	30	dun
地	d	117349	di
坫	d	3	dian
坻	d	4	di
垈	d	0	dai
垌	d	3	dong
垛	d	40	duo
垤	d	3	die
垫	d	2031	dian
垯	d	4	da
垱	d	4	dang
埭	d	17	dai
埵	d	1	duo
堆	d	3046	dui
堕	d	338	duo
堞	d	6	die
堤	d	137	di
堵	d	1821	du
塅	d	8	duan
墩	d	252	dun
多	d	146987	duo
大	d	110653	da
夺	d	954	duo
奠	d	34	dian
妒	d	75	du
妲	d	160	da
娣	d	17	di
媂	d	1	di
嫡	d	158	di
宕	d	78	dang
定	d	5120	ding
对	d	584384	dui
导	d	827	dao
屌	d	1303	diao
岛	d	4140	dao
岱	d	174	dai
岽	d	5	dong
峒	d	9	dong
嶝	d	3	deng
巅	d	43	dian
帝	d	1742	di
带	d	35972	dai
帱	d	3	dao
底	d	3483	di
店	d	13798	dian
度	d	25439	du
弟	d	407	di
弹	d	3370	dan
当	d	133037	dang
待	d	6848	dai
得	d	31646	de
德	d	5691	de
忉	d	5	dao
怛	d	45	da
怠	d	39	dai
怼	d	6086	dui
恫	d	7	dong
悼	d	89	dao
惇	d	478	dun
惦	d	8	dian
惮	d	48	dan
惰	d	64	duo
憺	d	6	dan
懂	d	12113	dong
戥	d	8	deng
戴	d	4434	dai
扂	d	2	dian
打	d	49653	da
扽	d	28	den
抖	d	1677	dou
抵	d	1061	di
担	d	470	dan
挡	d	2399	dang
捣	d	289	dao
捯	d	25	dao
掂	d	108	dian
掇	d	11	duo
掉	d	10682	diao
掸	d	117	dan
提	d	1	di
搭	d	3542	da
敌	d	1157	di
敦	d	218	dun
斗	d	1728	dou
断	d	2257	duan
旦	d	286	dan
昳	d	31	die
朵	d	544	duo
杕	d	4	di
杜	d	1634	du
柢	d	5	di
栋	d	828	dong
档	d	6019	dang
棣	d	109	di
椟	d	32	du
椴	d	61	duan
楪	d	1	die
歹	d	41	dai
殆	d	75	dai
殚	d	10	dan
段	d	7791	duan
殿	d	893	dian
毒	d	2465	du
氐	d	261	di
氘	d	424	dao
氡	d	170	dong
氮	d	653	dan
汈	d	1	diao
沌	d	17	dun
沓	d	48	da
洞	d	2867	dong
涤	d	22	di
淀	d	13	dian
淡	d	997	dan
渎	d	30	du
渡	d	574	du
溚	d	3	da
滇	d	236	dian
滴	d	5158	di
澄	d	2	deng
澹	d	76	dan
灯	d	5423	deng
炖	d	1211	dun
炟	d	14	da
点	d	111245	dian
煅	d	9	duan
爹	d	2843	die
牍	d	21	du
牒	d	30	die
犊	d	52	du
狄	d	345	di
独	d	1044	du
玎	d	15	ding
玓	d	0	di
玳	d	43	dai
玷	d	11	dian
珰	d	23	dang
琔	d	0	dian
瑖	d	0	duan
璒	d	1	deng
瓞	d	5	die
电	d	5019	dian
甸	d	122	dian
町	d	537	ding
疍	d	4	dan
疔	d	6	ding
疸	d	0	dan
痘	d	376	dou
瘅	d	3	dan
瘩	d	2	da
癜	d	3	dian
癫	d	46	dian
登	d	1435	deng
的	d	15378475	de
盗	d	1127	dao
盯	d	1404	ding
盹	d	28	dun
盾	d	1945	dun
眈	d	3	dan
睇	d	76	di
督	d	242	du
睹	d	74	du
瞪	d	263	deng
短	d	6811	duan
石	d	54	dan
砀	d	55	dang
砘	d	1	dun
砥	d	21	di
硐	d	7	dong
碇	d	570	ding
碉	d	27	diao
碓	d	54	dui
碘	d	1109	dian
碟	d	1241	die
碲	d	94	di
磴	d	7	deng
礅	d	3	dun
祋	d	2	dui
祷	d	24	dao
禘	d	47	di
稻	d	197	dao
窎	d	4	diao
窦	d	173	dou
端	d	8749	duan
笃	d	143	du
笛	d	698	di
笪	d	8	da
第	d	59951	di
等	d	396005	deng
答	d	13799	da
筜	d	2	dang
箪	d	6	dan
篼	d	1	dou
簖	d	1	duan
簟	d	68	dian
籴	d	41	di
纛	d	58	dao
绐	d	18	dai
绖	d	2	die
缎	d	30	duan
缔	d	2	di
羝	d	11	di
翟	d	2	di
耋	d	3	die
耑	d	20	duan
耵	d	4	ding
耷	d	8	da
耽	d	49	dan
聃	d	11	dan
肚	d	214	du
胆	d	501	dan
胨	d	2	dong
胴	d	41	dong
腚	d	334	ding
膻	d	5	dan
舠	d	2	dao
舵	d	253	duo
芏	d	4	du
茋	d	2	di
荙	d	1	da
荡	d	305	dang
荻	d	18	di
菂	d	21	di
菪	d	12	dang
萏	d	3	dan
萣	d	0	ding
董	d	968	dong
蒂	d	1008	di
蔸	d	5	dou
蚪	d	3	dou
蛋	d	3140	dan
蝶	d	250	die
蠹	d	81	du
袋	d	1275	dai
裆	d	303	dang
裰	d	0	duo
褡	d	1	da
觌	d	11	di
订	d	1072	ding
诋	d	16	di
诞	d	35	dan
读	d	28867	du
调	d	3560	diao
谍	d	38	die
谛	d	30	di
谠	d	19	dang
豆	d	1566	dou
貂	d	178	diao
贷	d	2001	dai
赌	d	2983	du
赕	d	1	dan
趸	d	33	dun
跌	d	2932	die
跶	d	6	da
跺	d	157	duo
踮	d	33	dian
踱	d	82	duo
踶	d	1	di
蹀	d	1	die
蹈	d	44	dao
蹢	d	1	di
蹬	d	1033	deng
蹲	d	3116	dun
蹾	d	1	dun
躲	d	2230	duo
轪	d	10	dai
达	d	7881	da
迨	d	59	dai
迪	d	878	di
迭	d	71	die
递	d	580	di
逗	d	980	dou
逮	d	363	dai
遁	d	254	dun
道	d	25371	dao
邓	d	934	deng
邸	d	138	di
郸	d	1	dan
都	d	391232	dou
酊	d	8	ding
钉	d	965	ding
钓	d	467	diao
钝	d	219	dun
钭	d	3	dou
钿	d	34	dian
铎	d	105	duo
铛	d	101	dang
铞	d	3	diao
铥	d	42	diu
铫	d	9	diao
锝	d	131	de
锭	d	99	ding
锻	d	76	duan
镀	d	232	du
镝	d	273	di
镦	d	7	dun
镫	d	19	deng
阇	d	11	du
队	d	6614	dui
阽	d	1	dian
陡	d	259	dou
雕	d	319	diao
靛	d	27	dian
靼	d	5	da
鞑	d	98	da
鞮	d	24	di
顶	d	4057	ding
顿	d	1311	dun
颠	d	413	dian
饳	d	0	duo
驮	d	4	duo
骀	d	10	dai
骶	d	143	di
髑	d	1	du
髢	d	4	di
鱽	d	0	dao
鲷	d	30	diao
鲽	d	9	die
鸫	d	46	dong
黛	d	777	dai
黩	d	3	du
鼎	d	689	ding
鿎	d	0	da
𣗋	d	0	dang
𤧛	d	0	di
𨱏	d	0	da
𫟼	d	0	da
𫢸	d	0	dan
𫶇	d	0	die
𬍡	d	0	dang
𬘘	d	0	dan
𬟽	d	0	dong
𬭊	d	0	du
𬱖	d	0	di
二	e	52511	er
俄	e	1802	e
儿	e	8237	er
厄	e	584	e
呃	e	2650	e
咡	e	1	er
哦	e	3	e
嗯	e	10134	en
噩	e	6	e
垩	e	7	e
堨	e	0	e
姶	e	1	e
娥	e	139	e
婀	e	2	e
尔	e	1861	er
屙	e	17	e
峨	e	10	e
崿	e	7	e
恩	e	3715	en
恶	e	2738	e
愕	e	12	e
扼	e	71	e
摁	e	852	en
欸	e	171	e
洱	e	3	er
涐	e	8	e
珥	e	29	er
而	e	539248	er
耏	e	2	er
耳	e	2471	er
腭	e	69	e
苊	e	0	e
莪	e	23	e
萼	e	8	e
蒽	e	34	en
蛾	e	158	e
讹	e	516	e
诶	e	5305	ei
谔	e	22	e
贰	e	458	er
轭	e	25	e
迩	e	52	er
遏	e	17	e
鄂	e	229	e
铒	e	30	er
锇	e	91	e
锷	e	15	e
阿	e	28	e
陑	e	1	er
颚	e	112	e
额	e	4967	e
饵	e	227	er
饿	e	1652	e
鲕	e	3	er
鳄	e	230	e
鸸	e	4	er
鹅	e	1549	e
鹗	e	13	e
𥔲	e	0	e
𫫇	e	0	e
㕮	f	0	fu
㳇	f	0	fu
丰	f	292	feng
乏	f	110	fa
付	f	2603	fu
份	f	6573	fen
仿	f	1115	fang
伏	f	697	fu
伐	f	1770	fa
佛	f	1506	fo
俘	f	170	fu
俯	f	126	fu
俸	f	94	feng
偾	f	12	fen
傅	f	443	fu
冯	f	1799	feng
凡	f	2551	fan
凤	f	317	feng
凫	f	61	fu
分	f	101685	fen
剕	f	1	fei
副	f	3013	fu
匐	f	8	fu
匪	f	386	fei
反	f	9676	fan
发	f	22519	fa
吠	f	96	fei
否	f	1081	fou
吩	f	1	fen
呋	f	7	fu
咐	f	2	fu
唪	f	11	feng
啡	f	59	fei
坊	f	718	fang
坋	f	1	fen
坟	f	717	fen
垡	f	3	fa
垺	f	1	fu
墦	f	1	fan
复	f	1786	fu
夫	f	1472	fu
奉	f	974	feng
奋	f	75	fen
妃	f	467	fei
妇	f	211	fu
妨	f	24	fang
孚	f	77	fu
孵	f	77	fu
宓	f	14	fu
富	f	1296	fu
封	f	3871	feng
峰	f	1405	feng
崶	f	5	feng
帆	f	527	fan
幅	f	657	fu
幞	f	3	fu
幡	f	92	fan
府	f	1107	fu
废	f	2142	fei
弗	f	799	fu
忿	f	84	fen
怫	f	7	fu
悱	f	5	fei
愤	f	80	fen
房	f	3091	fang
扉	f	29	fei
扶	f	833	fu
抚	f	249	fu
拂	f	244	fu
拊	f	27	fu
