# text	overrides
# Overrides are tone-less pinyin for characters whose phrase reading differs
# from the character's primary reading. Multiple overrides may be separated by tabs.
村长	长:zhang
州长	长:zhang
站长	长:zhang
镇长	长:zhang
排长	长:zhang
目无尊长	长:zhang
旅长	长:zhang
连长	长:zhang
所长	长:zhang
校长	长:zhang
县长	长:zhang
乡长	长:zhang
兄长	长:zhang
学长	长:zhang
科长	长:zhang
部长	长:zhang
班长	长:zhang
探长	长:zhang
团长	长:zhang

重庆	重:chong
重庆市	重:chong
重新	重:chong
重新开始	重:chong
重复	重:chong
重来	重:chong
重启	重:chong
重启电脑	重:chong
重起炉灶	重:chong
重温旧梦	重:chong
重出江湖	重:chong
重拾信心	重:chong
重见天日	重:chong
重归于好	重:chong
重操旧业	重:chong
重整旗鼓	重:chong
重装系统	重:chong
重命名	重:chong
重回	重:chong
重获	重:chong
重打	重:chong
重叠	重:chong
重演	重:chong
重设	重:chong
重生	重:chong
重申	重:chong
重聚	重:chong
重建	重:chong
重构	重:chong
重整	重:chong
重装	重:chong
重振	重:chong
重码	重:chong
重名	重:chong
重塑	重:chong
重修	重:chong
重写	重:chong
重现	重:chong
重下	重:chong
重返	重:chong
重逢	重:chong
重播	重:chong
重提	重:chong
重唱	重:chong
重合	重:chong
重婚	重:chong
重温	重:chong
重组	重:chong
浴火重生	重:chong
旧地重游	重:chong
旧事重提	重:chong
久别重逢	重:chong
卷土重来	重:chong
故地重游	重:chong
故伎重演	重:chong
破镜重圆	重:chong
老调重弹	重:chong
冰火两重天	重:chong
推倒重来	重:chong

传记	传:zhuan
前传	传:zhuan
外传	传:zhuan
自传	传:zhuan
后传	传:zhuan
水浒传	传:zhuan
树碑立传	传:zhuan
言归正传	传:zhuan
正传	传:zhuan
名不见经传	传:zhuan
名不虚传	传:zhuan
秘传	传:zhuan
续传	传:zhuan
不见经传	传:zhuan
别传	传:zhuan

出差	差:chai
差事	差:chai
差旅	差:chai
差人	差:chai
差旅费	差:chai
当差	差:chai
钦差	差:chai
邮差	差:chai
交差	差:chai
官差	差:chai
信差	差:chai
苦差	差:chai
开小差	差:chai
参差	差:ci
参差错落	差:ci
参差不齐	差:ci
参差不一	差:ci

率队	率:shuai
率直	率:shuai
率真	率:shuai
率领	率:shuai
率先	率:shuai
率性	率:shuai
率部	率:shuai
率土之滨	率:shuai
统率	率:shuai

西藏	藏:zang
西藏自治区	藏:zang
藏族	藏:zang
藏文	藏:zang
藏獒	藏:zang
藏语	藏:zang
藏民	藏:zang
藏胞	藏:zang
青藏	藏:zang
青藏高原	藏:zang
川藏	藏:zang
滇藏	藏:zang

着火	着:zhao
着急	着:zhao
着凉	着:zhao
着凉了	着:zhao
着迷	着:zhao
着魔	着:zhao
睡着	着:zhao
睡不着	着:zhao
找不着	着:zhao
用得着	着:zhao
用不着	着:zhao
数得着	着:zhao
管不着	着:zhao
摸不着	着:zhao
摸不着头脑	着:zhao
丈二和尚摸不着头脑	着:zhao
打着灯笼找不着	着:zhao
上不着天	着:zhao
前不着村，后不着店	着:zhao
着落	着:zhuo
着手	着:zhuo
着实	着:zhuo
着装	着:zhuo
着重	着:zhuo
着力	着:zhuo
着陆	着:zhuo
着色	着:zhuo
着想	着:zhuo
着笔	着:zhuo
执着	着:zhuo
衣着	着:zhuo
沉着	着:zhuo
棋高一着	着:zhuo
一着不慎	着:zhuo
为他人着想	着:zhuo

还钱	还:huan
还原	还:huan
还给	还:huan
还账	还:huan
还债	还:huan
还礼	还:huan
还俗	还:huan
还口	还:huan
还款	还:huan
还本	还:huan
还本付息	还:huan
还手	还:huan
还手之力	还:huan
还击	还:huan
还价	还:huan
偿还	还:huan
归还	还:huan
生还	还:huan
送还	还:huan
索还	还:huan
发还	还:huan
返还	还:huan
奉还	还:huan
讨还	还:huan
退还	还:huan
不还	还:huan
以牙还牙	还:huan
以眼还眼	还:huan
以血还血	还:huan
一报还一报	还:huan
以其人之道，还治其人之身	还:huan
以彼之道还治其人之身	还:huan
有借有还，再借不难	还:huan
血债血还	还:huan
讨价还价	还:huan
退耕还林	还:huan
衣锦还乡	还:huan
告老还乡	还:huan
买椟还珠	还:huan
借尸还魂	还:huan
返老还童	还:huan
父债子还	还:huan
倦鸟知还	还:huan

仔细	仔:zi
仔细一看	仔:zi

目的	的:di
目的地	的:di
目的性	的:di
为目的	的:di
最终目的	的:di
不达目的	的:di
漫无目的	的:di
众矢之的	的:di
有的放矢	的:di
无的放矢	的:di
一语中的	的:di
一语破的	的:di
的确	的:di
的确如此	的:di
的的确确	的:di
的黎波里	的:di
