;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
jlyy	䜘
jlyy	惊讶
jlzi	净增
jlzj	京族
jlzn	镜子
jlzo	迳
jlzo	逕
jlzo	踁
jlzt	竞走
jlzu	静坐
jlzy	鸡烂嘴巴硬
jm	进
jm	金
jm	今
jm	近
jm	尽
jm	仅
jm	紧
jm	禁
jm	津
jm	劲
jm	晋
jm	斤
jm	谨
jm	锦
jm	筋
jm	巾
jm	浸
jm	襟
jm	矜
jm	烬
jm	瑾
jm	靳
jm	噤
jm	荩
jm	觐
jm	馑
jm	缙
jm	槿
jm	妗
jm	衿
jm	堇
jm	廑
jm	赆
jm	祲
jm	墐
jm	殣
jm	浕
jm	溍
jm	珒
jm	琎
jm	瑨
jm	卺
jm	進
jm	钅
jm	盡
jm	緊
jm	謹
jm	觔
jm	賮
jm	矝
jm	菫
jm	齽
jm	砛
jm	蓳
jm	菳
jm	錦
jm	釿
jm	㝻
jm	㦗
jm	㨷
jm	㬐
jm	㬜
jm	㯲
jm	㯸
jm	㰹
jm	㱈
jm	㴆
jm	㶦
jm	㶳
jm	㹏
jm	㻸
jm	䀆
jm	䆮
jm	䉷
jm	䋮
jm	䌍
jm	䌝
jm	䐶
jm	䑤
jm	䒺
jm	䖐
jm	䗯
jm	䘳
jm	䝲
jm	䢻
jm	䤐
jm	䥆
jm	䫴
jm	䭙
jm	䶖
jm	仐
jm	伒
jm	侭
jm	僅
jm	僸
jm	儘
jm	凚
jm	劤
jm	勁
jm	厪
jm	唫
jm	嚍
jm	埐
jm	堻
jm	壗
jm	婜
jm	嫤
jm	嬐
jm	嬧
jm	寖
jm	巹
jm	惍
jm	慬
jm	搢
jm	晉
jm	枃
jm	榗
jm	歏
jm	漌
jm	濅
jm	濜
jm	煡
jm	燼
jm	琻
jm	璡
jm	璶
jm	竻
jm	笒
jm	紟
jm	縉
jm	臸
jm	荕
jm	藎
jm	覲
jm	贐
jm	釒
jm	饉
jm	馸
jm	鹶
jm	黅
jm	㥤
jm	㧆
jm	䈽
jm	䘜
jmab	㶦
jmad	烬
jmai	燼
jman	紧挨
jmaz	煡
jmbb	巾
jmbc	金边
jmbf	巹
jmbi	紧绷
jmbj	进步
jmbjrjxn	今不如昔
jmbn	金币
jmbnhkhg	金碧辉煌
jmbp	卺
jmbp	鹶
jmbs	紧
jmbs	金榜
jmbstnml	金榜题名
jmbstnmlun	金榜题名时
jmbu	禁播
jmbx	近百
jmbybjwp	津巴布韦
jmca	健美操
jmcb	荕
jmcd	荩
jmcd	仅存
jmcf	菳
jmci	藎
jmcj	紧蹙
jmcm	菫
jmcm	蓳
jmcn	仅此
jmcnehyn	仅此而已
jmcnyj	仅次于
jmco	进餐
jmcoco	金灿灿
jmcp	黅
jmcs	䒺
jmct	紧凑
jmdb	觔
jmdc	金殿
jmdd	浕
jmdf	㴆
jmdh	锦缎
jmdi	濜
jmdj	进度
jmdk	津
jmdk	浸
jmdk	濅
jmdl	紧盯
jmdm	殣
jmdm	漌
jmdn	禁地
jmdr	溍
jmds	凚
jmdt	筋斗
jmdtyd	筋斗云
jmdw	堻
jmdx	近代
jmdxwzxf	近代文学
jmee	金额
jmeh	进而
jmehge	今儿个
jmey	简明扼要
jmfb	劤
jmff	锦
jmff	錦
jmff	釿
jmff	䖐
jmfisqug	金风送爽
jmfiyjlj	金风玉露
jmfjuk	紧肤水
jmfpxnbn	今非昔比
jmfs	谨防
jmfy	金发
jmfybnyo	金发碧眼
jmgb	斤
jmgd	鸡鸣狗盗
jmgetvmy	金戈铁马
jmgf	䘳
jmgf	䘜
jmgf	鸡鸣狗吠
jmgg	金光
jmgguouo	金光闪闪
jmgh	尽管
jmgj	禁锢
jmgj	筋骨
jmgjbs	金箍棒
jmgjit	紧箍咒
jmgjqngh	今古奇观
jmgjqnml	金鼓齐鸣
jmgk	祲
jmgk	金贵
jmgkxj	金龟婿
jmgp	衿
jmgp	钅
jmgq	进攻
jmgqcoka	仅供参考
jmgs	襟
jmgs	金刚
jmgsjl	金刚经
jmgu	巾帼
jmgubjrsxjmp	巾帼不让须眉
jmguxjmp	巾帼须眉
jmguylxq	巾帼英雄
jmgz	紧跟
jmhd	金婚
jmhg	金黄
jmhh	矝
jmhh	尽欢
jmhhehso	尽欢而散
jmhj	近乎
jmhkdyxf	浸会大学
jmhl	襟怀
jmhltods	襟怀坦荡
jmhp	矜
jmhr	缙
jmhs	㥤
jmhs	进行
jmht	今后
jmhu	进货
jmhw	进化
jmhy	旧貌换新颜
jmid	枃
jmie	紧着
jmif	馸
jmih	近墨者黑
jmih	金砖
jmii	㯸
jmij	进驻
jmijievn	近朱者赤
jmik	紧追
jmikbjue	紧追不舍
jmil	䫴
jmim	槿
jmin	禁止
jminjmze	尽职尽责
jminrjnp	禁止入内
jminyjcn	仅止于此
jminyjye	金枝玉叶
jmio	进展
jmiq	尽忠
jmir	榗
jmis	禁
jmis	㯲
jmis	紧张
jmitmptt	紧皱眉头
jmiu	金镯
jmiw	紧抓
jmix	㱈
jmizgj	金针菇
jmjd	赆
jmjd	进军
jmjf	唫
jmjg	金奖
jmji	嚍
jmjm	仅仅
jmjm	紧紧
jmjmjnjr	斤斤计较
jmjmleda	津津乐道
jmjmrjcn	仅仅如此
jmjmvjvj	进进出出
jmjmytwp	津津有味
jmjn	紧急
jmjndjln	金鸡独立
jmjnnc	近几年
jmjnsx	晋级赛
jmjntc	近几天
jmjr	近郊
jmjs	噤
jmjv	进阶
jmjvie	紧接着
jmjw	进价
jmke	尽可
jmkeni	尽可能
jmkeyjlk	金科玉律
jmkf	䋮
jmkg	近况
jmkj	金库
jmkl	尽快
jmkm	谨
jmkm	䌍
jmko	近看
jmkp	紟
jmkr	晋
jmkr	䤐
jmkr	縉
jmks	䌝
jmkt	进口
jmktyjyo	金口玉言
jmky	金卡
jmlc	金莲
jmlg	尽量
jmlh	禁脔
jmlj	近路
jmlk	䆮
jmlk	寖
jmlk	劲旅
jmll	禁令
jmlm	近邻
jmln	今明两年
jmln	尽力
jmlnehwp	尽力而为
jmlq	金龙
jmlumngj	紧锣密鼓
jmlv	禁猎
jmlx	进来
jmmb	勁
jmmjukhutj	金木水火土
jmmllgnc	今明两年
jmmn	紧密
jmmp	浸没
jmmr	㬜
jmmr	晉
jmmuiehp	近墨者黑
jmmw	臸
jmmz	进门
jmnb	金牛
jmnc	今年
jmncncdn	今年年底
jmncncvj	今年年初
jmncynlx	今年以来
jmne	觐
jmne	覲
jmni	嬧
jmnm	堇
jmnm	㹏
jmnm	嫤
jmnm	䈽
jmnp	妗
jmnp	黅
jmns	锦囊
jmnsmrjn	锦囊妙计
jmnx	嬐
jmnx	歏
jmny	挤眉弄眼
jmof	靳
jmom	廑
jmpa	㶳
jmpa	浸泡
jmpb	劲
jmpb	筋
jmpb	竻
jmpi	盡
jmpi	䀆
jmpl	賮
jmpl	仅凭
jmpnlnjm	筋疲力尽
jmpp	䑤
jmpp	䶖
jmpp	笒
jmps	齽
jmpu	紧迫
jmpx	金牌
jmpy	䉷
jmpzxnut	金盆洗手
jmqb	进球
jmqc	金钱
jmqf	㧆
jmqf	紧缺
jmqg	精明强干
jmqi	静脉曲张
jmqj	进去
jmqjxm	进取心
jmql	尽情
jmqlfyhk	尽情发挥
jmqm	㨷
jmqm	近亲
jmqn	近期
jmqnsuni	尽其所能
jmqr	搢
jmqr	紧俏
jmrd	䝲
jmri	贐
jmrj	进入
jmrjrzyn	尽如人意
jmrn	今日
jmrnwjvt	近日无仇
jmro	尽然
jmrq	金融
jmrqwpjn	金融危机
jmrqye	金融业
jmrr	㬐
jmrr	䐶
jmruhovo	噤若寒蝉
jmrzjvin	尽人皆知
jmrzuntltcml	尽人事听天命
jmse	金色
jmsf	惍
jmsk	紧随
jmskqnht	紧随其后
jmsm	慬
jmsn	近似
jmsp	鸡毛蒜皮
jmss	㦗
jmsu	紧缩
jmsx	㰹
jmsx	禁赛
jmtc	今天
jmtd	尽
jmte	䢻
jmtk	进退
jmtklgno	进退两难
jmtkunjj	进退失据
jmtkwjmz	进退无门
jmtkwpgj	进退维谷
jmtm	厪
jmtn	婜
jmtq	䗯
jmtqyjnk	金童玉女
jmtr	金条
jmts	緊
jmtt	尽头
jmtv	津贴
jmue	劲射
jmui	晋升
jmuijmun	今生今世
jmuj	金属
jmuk	进水
jmuklttx	近水楼台
jmuklttxxcdeyf	近水楼台先得月
jmun	近视
jmunbjtqwsrn	今时不同往日
jmunqcxc	尽释前嫌
jmunwpkx	金石为开
jmunzufp	今是昨非
jmuo	金山
jmuojmmp	尽善尽美
jmustchw	锦上添花
jmut	金木水火土
jmutyodn	尽收眼底
jmuz	谨慎
jmva	今朝
jmvaytjbjmvazk	今朝有酒今朝醉
jmvi	进程
jmvj	进出
jmvm	馑
jmvn	㝻
jmvn	矜持
jmvotuke	金蝉脱壳
jmvp	砛
jmvs	进场
jmvx	金钗
jmvy	金叉
jmvz	今晨
jmwi	壗
jmwj	进屋
jmwjcsjr	金屋藏娇
jmwjzjvn	金无足赤
jmwk	埐
jmwl	假冒伪劣
jmwm	墐
jmwo	今晚
jmwp	仅为
jmwq	举目无亲
jmwu	紧握
jmxb	进修
jmxb	锦绣
jmxbheuo	锦绣河山
jmxbnchw	锦绣年华
jmxc	仅限
jmxcyj	仅限于
jmxd	侭
jmxf	伒
jmxg	进项
jmxgqlqv	近乡情怯
jmxi	儘
jmxk	仅
jmxm	金
jmxm	僅
jmxm	釒
jmxm	饉
jmxm	尽心
jmxmjmln	尽心尽力
jmxn	今昔
jmxp	今
jmxr	䭙
jmxr	今宵
jmxruzwp	谨小慎微
jmxs	僸
jmxv	仐
jmya	紧要
jmyaghtt	紧要关头
jmyd	禁运
jmye	今夜
jmyf	䥆
jmyf	琻
jmyh	救民于水火
jmyi	璶
jmyj	金鱼
jmyjlgyo	金玉良言
jmyjmots	金玉满堂
jmyjqnwx	金玉其外
jmyk	珒
jmym	瑾
jmym	謹
jmym	金银
jmymcxba	金银财宝
jmymutun	金银首饰
jmyn	堇忆
jmynbj	进一步
jmyncn	近义词
jmynyehs	锦衣夜行
jmynyjun	锦衣玉食
jmyo	禁言
jmyouzhs	谨言慎行
jmyq	璡
jmyq	禁用
jmyr	瑨
jmyr	㻸
jmyt	仅有
jmyy	金牙
jmyz	琎
jmza	今早
jmze	尽责
jmzf	进
jmzf	近
jmzn	金子
jmzniapx	金字招牌
jmznty	金字塔
jmzq	進
jmzx	尽在
jmzxbjyoiq	尽在不言中
jmzxinvn	近在咫尺
jmzxyoqc	近在眼前
jn	机
jn	己
jn	给
jn	及
jn	几
jn	系
jn	计
jn	基
jn	即
jn	记
jn	济
jn	极
jn	击
jn	集
jn	级
jn	技
jn	际
jn	纪
jn	继
jn	急
jn	激
jn	既
jn	积
jn	吉
jn	迹
jn	疾
jn	季
jn	辑
jn	鸡
jn	剂
jn	绩
jn	籍
jn	寄
jn	挤
jn	寂
jn	祭
jn	忌
jn	肌
jn	玑
jn	饥
jn	脊
jn	稽
jn	冀
jn	藉
jn	圾
jn	姬
jn	嫉
jn	妓
jn	棘
jn	讥
jn	畸
jn	缉
jn	叽
jn	矶
jn	羁
jn	伎
jn	汲
jn	悸
jn	暨
jn	亟
jn	笈
jn	戟
jn	唧
jn	骥
jn	稷
jn	瘠
jn	跻
jn	嵇
jn	髻
jn	鲫
jn	岌
jn	偈
jn	蓟
jn	箕
jn	畿
jn	觊
jn	乩
jn	犄
jn	霁
jn	麂
jn	楫
jn	芨
jn	屐
jn	赍
jn	蒺
jn	芰
jn	嵴
jn	佶
jn	齑
jn	荠
jn	笄
jn	殛
jn	虮
jn	鲚
jn	戢
jn	跽
jn	墼
jn	洎
jn	蕺
jn	蹐
jn	罽
jn	剞
jn	掎
jn	觭
jn	穄
jn	伋
jn	垍
jn	堲
jn	姞
jn	惎
jn	漈
jn	瀱
jn	耤
jn	期
jn	奇
jn	鹡
jn	鱾
jn	徛
jn	枅
jn	其
jn	革
jn	齐
jn	诘
jn	咭
jn	積
jn	計
jn	給
jn	繼
jn	級
jn	記
jn	際
jn	雞
jn	紀
jn	蹟
jn	繫
jn	飢
jn	饑
jn	穊
jn	跡
jn	韲
jn	鶺
jn	哜
jn	齏
jn	苙
jn	績
jn	羇
jn	鯚
jn	臮
jn	虀
jn	踖
jn	茍
jn	羈
jn	鐖
jn	谻
jn	繋
jn	蝍
jn	鍓
jn	鞿
jn	鵋
jn	稘
jn	箿
jn	緝
jn	覊
jn	鞊
jn	驥
jn	鯽
jn	磯
jn	趌
jn	禨
jn	㑧
jn	㑵
jn	㒫
jn	㔕
jn	㖢
jn	㗊
jn	㗱
jn	㘍
jn	㙨
jn	㙫
jn	㚡
jn	㚻
jn	㞃
jn	㞆
jn	㞛
jn	㞦
jn	㠍
jn	㠖
jn	㠱
jn	㡇
jn	㡭
jn	㡮
jn	㤂
jn	㥍
jn	㥛
jn	㦸
jn	㧀
jn	㧗
jn	㨈
jn	㭰
jn	㭲
jn	㮟
jn	㮨
jn	㰟
jn	㱞
jn	㱦
jn	㲅
jn	㲺
jn	㳵
jn	㴉
jn	㴕
jn	㸄
jn	㹄
jn	㻑
jn	㻷
jn	㽺
jn	㾊
jn	㾒
jn	㾵
jn	䁒
jn	䆅
jn	䇫
jn	䋟
jn	䌿
jn	䍤
jn	䍯
jn	䐀
jn	䐕
jn	䐚
jn	䒁
jn	䓧
jn	䓫
jn	䓽
jn	䕤
jn	䗁
jn	䚐
jn	䛋
jn	䜞
jn	䝸
jn	䞘
jn	䟇
jn	䟌
jn	䠏
jn	䢋
jn	䢳
jn	䣢
jn	䤒
jn	䤠
jn	䦇
jn	䦈
jn	䨖
jn	䩐
jn	䩯
jn	䮺
jn	䯂
jn	䰏
jn	䰥
jn	䱥
jn	䲯
jn	䳭
jn	䶓
jn	䶩
jn	丌
jn	丮
jn	乁
jn	亼
jn	亽
jn	偮
jn	僟
jn	兾
jn	刉
jn	刏
jn	剤
jn	劑
jn	勣
jn	卙
jn	卽
jn	叝
jn	唶
jn	喞
jn	嗘
jn	嘰
jn	嚌
jn	坖
jn	塈
jn	塉
jn	妀
jn	尐
jn	屰
jn	峜
jn	嵆
jn	嶯
jn	帺
jn	幾
jn	庴
jn	廭
jn	彐
jn	彑
jn	彶
jn	忣
jn	愱
jn	憿
jn	懠
jn	懻
jn	揤
jn	摖
jn	撃
jn	撠
jn	撽
jn	擊
jn	擠
jn	攲
jn	敧
jn	旡
jn	旣
jn	暩
jn	曁
jn	朞
jn	梞
jn	楖
jn	極
jn	槉
jn	槣
jn	樭
jn	機
jn	橶
jn	檕
jn	檝
jn	檵
jn	櫅
jn	櫭
jn	毄
jn	汥
jn	泲
jn	淁
jn	済
jn	湒
jn	漃
jn	潗
jn	濈
jn	濟
jn	焏
jn	犱
jn	璣
jn	璾
jn	畟
jn	痵
jn	癠
jn	癪
jn	皀
jn	皍
jn	瞉
jn	磼
jn	禝
jn	稩
jn	穖
jn	穧
jn	筓
jn	簊
jn	簎
jn	紒
jn	継
jn	綨
jn	緁
jn	耭
jn	膌
jn	艥
jn	茤
jn	葪
jn	蔇
jn	蕀
jn	薊
jn	薺
jn	蘎
jn	蘮
jn	蘻
jn	螏
jn	蟣
jn	裚
jn	襀
jn	襋
jn	覉
jn	覬
jn	觙
jn	誋
jn	諅
jn	諔
jn	譏
jn	譤
jn	賫
jn	賷
jn	趞
jn	踑
jn	躋
jn	躤
jn	躸
jn	輯
jn	轚
jn	郆
jn	銈
jn	銡
jn	錤
jn	鏶
jn	鑇
jn	鑙
jn	隮
jn	雧
jn	霵
jn	霽
jn	鬾
jn	魕
jn	魝
jn	魢
jn	魥
jn	鮆
jn	鰶
jn	鰿
jn	鱀
jn	鱭
jn	鳮
jn	鶏
jn	鷄
jn	鷑
jn	鸄
jn	齌
jn	齎
jn	䪠
jn	䪡
jn	䪢
jn	䪣
jn	龮
jn	㑑
jn	㦘
jn	㫷
jn	㵶
jn	䂑
jn	䗗
jn	䟱
jn	䢎
jn	䥓
jn	䩭
jn	䳶
jnab	㸄
jnad	穖
jnae	嵇
jnae	嵆
jnae	穧
jnaf	㧀
jnal	积
jnal	積
jnal	稘
jnal	䆅
jnap	穊
jnar	稽
jnar	稩
jnas	穄
jnas	激昂
jnay	稷
jnaz	季
jnba	焏
jnba	季报
jnbc	几遍
jnbcrjcn	即便如此
jnbd	耭
jnbe	䣢
jnbjdele	记不得了
jnbjij	记不住
jnbjkedx	急不可待
jnbjkenx	急不可耐
jnbjkeun	机不可失
jnbjql	记不清
jnbjrjrz	技不如人
jnbjtn	吉布提
jnbjyyuz	技不压身
jnbjzeun	饥不择食
jnbl	冀
jnbl	疾病
jnbm	亟
jnbn	击毙
jnbo	㦸
jnbo	羁绊
jnbp	乩
jnbp	几倍
jnbr	耤
jnbv	级别
jnbx	几百
jnbxnc	几百年
jnby	几把
jnbz	基本
jnbzgq	基本功
jnbztrjc	基本条件
jnbzus	基本上
jncb	荠
jncb	苙
jncd	蓟
jncd	葪
jncd	薊
jncd	蘮
jncd	寄存
jnce	䕤
jnce	薺
jnce	计策
jncf	芨
jncf	虀
jncf	䓽
jnci	基层
jncj	茍
jncj	䓫
jncj	急促
jnck	芰
jncl	蘎
jncm	蕺
jncm	䓧
jncn	蕀
jncn	几次
jncnsofo	几次三番
jncokeym	饥餐渴饮
jncp	蔇
jncqcq	急匆匆
jncr	藉
jncs	茤
jncs	蘻
jncs	机舱
jncu	记错
jncule	记错了
jncv	蒺
jncx	荠菜
jnda	㴕
jndb	济
jndb	㱞
jndc	几点
jndd	剞
jndd	瀱
jnde	㴉
jnde	済
jnde	湒
jnde	濟
jnde	记得
jndehsuo	积德行善
jndelnyn	既得利益
jndf	汲
jndf	觙
jndg	泲
jndh	极端
jndi	潗
jndj	觭
jndj	奇
jndj	㚡
jndj	㱦
jndj	嫉妒
jndj	季度
jndjjr	基督教
jndk	攲
jndk	敧
jndk	汥
jndk	漃
jndk	挤兑
jndl	既定
jndlhe	机顶盒
jndm	殛
jndm	濈
jndn	鹡
jndn	鶺
jndn	淁
jndn	基地
jndo	鸡蛋
jndolntrgjtt	鸡蛋里挑骨头
jndopiuntt	鸡蛋碰石头
jndq	㵶
jndq	激动
jndqllhu	机动灵活
jndqrzxm	激动人心
jndqve	机动车
jndqvelg	机动车辆
jndr	脊
jndr	基调
jnds	急
jnds	漈
jnds	激荡
jndsdvytdsmy	既当爹又当妈
jndu	㲺
jndx	暨南大学
jndx	亟待
jndxjvjf	亟待解决
jndy	激
jndy	加拿大
jndy	极大
jndyviie	集大成者
jndz	洎
jndz	㳵
jnee	觊
jnee	㒫
jnee	覬
jnee	隮
jnee	饥饿
jneerjvt	疾恶如仇
jnef	岌
jnef	㞦
jneh	继而
jnehjnsn	吉尔吉斯
jnehjnsnsnto	吉尔吉斯斯坦
jnei	㠍
jnel	九牛二虎之力
jnem	嶯
jnep	峜
jner	嵴
jnes	际
jnes	際
jnew	坖
jney	㠖
jnfb	䶓
jnfd	鐖
jnfd	酒囊饭袋
jnfe	鍓
jnfe	䢳
jnfe	鑇
jnff	叽
jnfi	鏶
jnfi	讥讽
jnfibayj	疾风暴雨
jnfiinjmca	疾风知劲草
jnfisaluye	疾风扫落叶
jnfixdlp	疾风迅雷
jnfj	銡
jnfj	肌肤
jnfjinqm	肌肤之亲
jnfl	㠱
jnfl	帺
jnfl	錤
jnfn	鵋
jnfn	䤠
jnfn	䲯
jnfn	妀
jnfo	几番
jnfp	㡇
jnfp	计费
jnfpdody	鸡飞蛋打
jnfpgttr	鸡飞狗跳
jnfr	鑙
jnfs	忌
jnfs	㤂
jnfs	机房
jnfw	銈
jnfw	䥓
jnfy	激发
jnfz	积分
jnfziq	几分钟
jnga	缉拿归案
jnga	极高
jngaynvt	技高一筹
jngd	禨
jnge	几个
jngefsmc	几个方面
jngehkhe	几个回合
jngeiq	几个钟
jngeiqtt	几个钟头
jngelxhk	几个来回
jngeqc	几个钱
jngerz	几个人
jngeunjn	几个世纪
jngexrun	几个小时
jngeyf	几个月
jngezn	几个字
jngf	䪠
jngf	䪡
jngf	䪢
jngg	激光
jngh	机关
jngh	籍贯
jnghqg	机关枪
jnghshjm	机关算尽
jnghshjmtxcqml	机关算尽太聪明
jngj	击鼓
jngjmljm	击鼓鸣金
jngl	襀
jngm	䱥
jngn	及
jngn	襋
jngn	鶏
jngn	鷄
jngp	几
jngp	寄给
jngq	雞
jngq	济公
jngqhayn	急公好义
jngqjmln	急功近利
jngs	系
jngs	祭
jngt	机构
jngu	记过
jngw	记挂
jngy	禝
jnha	记号
jnhd	罽
jnhe	缉
jnhe	䍤
jnhe	集合
jnhejljw	集合竞价
jnhetjxl	几何图形
jnhf	级
jnhf	纪
jnhg	饥荒
jnhh	疾患
jnhi	羁
jnhi	羈
jnhj	给
jnhj	羇
jnhj	几乎
jnhk	忌讳
jnhk	机会
jnhkijyn	机会主义
jnhkmrms	机会渺茫
jnhkxrgj	积毁销骨
jnhojrpu	饥寒交迫
jnhoqndaxm	饥寒起盗心
jnhp	继
jnhu	激活
jnhumy	激活码
jnhw	䌿
jnhw	计划
jnhwbjrjbchwkl	计划不如变化快
jnhwgobjusbchw	计划赶不上变化
jnhwmpytbchwkl	计划没有变化快
jnhx	绩
jnhz	嫉恨
jnid	機
jnid	基准
jnie	楫
jnie	䮺
jnie	楖
jnie	櫅
jnie	记者
jnif	机
jnif	极
jnigxg	集装箱
jnih	倦鸟知还
jnihinxw	急转直下
jnihwo	急转弯
jnii	㮟
jnii	䯂
jnii	急症
jnij	枅
jnij	㭲
jnij	槣
jnij	记住
jnijle	记住了
jnik	脊椎
jnil	骥
jnil	驥
jnil	龮
jnim	極
jnim	檝
jnim	櫭
jnin	机制
jnin	机智
jnin	极致
jnio	橶
jnio	挤占
jnio	激战
jnip	檵
jniq	集中
jniqjlln	集中精力
jniquiin	急中生智
jniqyahx	击中要害
jnis	梞
jnis	几张
jnit	几周
jniv	槉
jniw	樭
jniw	鸡爪
jniwfi	鸡爪疯
jniy	㮨
jniz	急诊
jnizke	急诊科
jnjb	哜
jnjb	嚌
jnjb	急救
jnjc	击键
jnjd	嗘
jnjd	嘰
jnjd	季军
jnje	唧
jnje	喞
jnjg	即将
jnjgarvj	计将安出
jnjgfy	激将法
jnji	㗱
jnjj	咭
jnjj	㗊
jnjj	几句
jnjjhw	几句话
jnjl	㖢
jnjl	寂静
jnjl	鸡精
jnjlfiigiemolsiq	急惊风撞着慢郎中
jnjm	戢
jnjm	基金
jnjn	积极
jnjnbjkeiqrn	岌岌不可终日
jnjncoyj	积极参与
jnjnfzzn	积极分子
jnjngjgj	叽叽咕咕
jnjnijdq	积极主动
jnjniyiy	叽叽喳喳
jnjnjmqj	积极进取
jnjnkewp	岌岌可危
jnjnmsms	急急忙忙
jnjnrjlkll	急急如律令
jnjntkdq	积极推动
jnjnwjml	籍籍无名
jnjnwxwx	叽叽歪歪
jnjnxl	积极性
jnjnylxg	积极影响
jnjnylza	积极营造
jnjnymsj	积极因素
jnjnynts	济济一堂
jnjo	㘍
jnjr	唶
jnjr	计较
jnjrgyly	犄角旮旯
jnjrinun	掎角之势
jnjv	季节
jnjw	计价
jnjy	借你吉言
jnkb	霁
jnkb	紒
jnkb	霽
jnkd	䤒
jnkd	幾
jnke	緝
jnke	饥渴
jnkenonx	饥渴难耐
jnkf	记
jnkf	讥
jnkf	級
jnkf	紀
jnkj	诘
jnkj	給
jnkj	㞆
jnkj	疾苦
jnkk	击溃
jnkl	績
jnkl	綨
jnkl	几块
jnkm	霵
jnkn	鸡
jnkn	鳮
jnkp	繼
jnkp	㡭
jnkp	䍯
jnkp	継
jnkr	䨖
jnks	䋟
jnkt	忌口
jnku	㡮
jnkv	计
jnkw	畿
jnkx	緁
jnla	记牢
jnlavijn	积劳成疾
jnlb	激流
jnlbyqtk	急流勇退
jnle	卽
jnle	癠
jnle	皍
jnle	急了
jnlf	㽺
jnlg	谻
jnlg	屰
jnlg	计量
jnlj	寄
jnlj	㾒
jnlj	记录
jnljpc	纪录片
jnlk	寂
jnlk	㞃
jnlk	㲅
jnlk	纪律
jnll	兾
jnll	癪
jnll	皀
jnll	机灵
jnllgtsk	鸡零狗碎
jnlm	曁
jnlm	吉林
jnlmdyxf	吉林大学
jnlmui	吉林省
jnln	㾊
jnln	鸄
jnln	激励
jnlnbysn	基里巴斯
jnlngwly	叽里呱啦
jnlozkbyyl	鸡烂嘴巴硬
jnlp	旣
jnlp	积累
jnlq	基隆
jnlqpu	吉隆坡
jnlr	瘠
jnlr	寂寥
jnls	㦘
jnlu	击落
jnlv	疾
jnlv	㾵
jnlv	激烈
jnlx	寄来
jnly	经年累月
jnlz	痵
jnma	鸡毛
jnmashpn	鸡毛蒜皮
jnmb	鲚
jnmb	丌
jnmd	魝
jnme	鲫
jnme	鯽
jnme	鱭
jnmf	鱾
jnmf	魢
jnmf	魥
jnmf	䪣
jnmj	击
jnmj	髻
jnmj	锦囊妙计
jnmj	继母
jnml	鰿
jnml	几名
jnmlgtda	鸡鸣狗盗
jnmlgtfp	鸡鸣狗吠
jnmm	机敏
jnmn	棘
jnmn	机密
jnmo	䦈
jnmp	䦇
jnmp	旡
jnmpnqyo	挤眉弄眼
jnmq	䰏
jnms	鰶
jnms	急忙
jnmt	计谋
jnmu	寂寞
jnmz	鯚
jnnb	姬
jnnb	革
jnnc	纪念
jnncpm	纪念品
jnncrn	纪念日
jnnd	䳶
jnnd	今年年底
jnni	技能
jnnj	犄
jnnj	姞
jnnj	激怒
jnnk	妓
jnnk	妓女
jnnnsn	吉尼斯
jnno	济南
jnnodyxf	暨南大学
jnnpyy	几内亚
jnnuzj	基诺族
jnnv	嫉
jnnv	今年年初
jnnx	挤奶
jnny	㹄
jnny	缉拿
jnnygkar	缉拿归案
jnod	鞿
jnod	魕
jnoe	即
jnof	麂
jnoj	鞊
jnoj	䩭
jnok	鬾
jnol	廭
jnom	暨
jnom	䩯
jnom	鱀
jnon	䳭
jnoo	䰥
jnop	既
jnor	庴
jnou	䩐
jnow	堲
jnow	塈
jnpb	䇫
jnpb	丮
jnpc	几篇
jnpe	箿
jnpe	䶩
jnpf	笈
jnpj	笄
jnpj	吉普
jnpjsx	吉普赛
jnpl	箕
jnpl	䒁
jnpm	彐
jnpm	彑
jnpm	艥
jnpm	鮆
jnpm	纪念品
jnpm	极品
jnpn	㭰
jnpn	鷑
jnpngedy	鸡皮疙瘩
jnpo	筓
jnpp	己
jnpp	乁
jnpr	籍
jnpr	簎
jnpr	机票
jnpu	急迫
jnpw	簊
jnqb	挤
jnqb	勣
jnqb	击球
jnqc	几千
jnqcnc	几千年
jnqe	㨈
jnqe	揤
jnqe	擠
jnqg	极强
jnqh	几圈
jnqhbjlb	鸡犬不留
jnqhbjnl	鸡犬不宁
jnqhuitc	鸡犬升天
jnqj	掎
jnqj	汲取
jnqk	技
jnqk	裚
jnql	㧗
jnql	激情
jnqlsnue	激情四射
jnqn	极其
jnqn	机器
jnqnrz	机器人
jnqo	撠
jnqr	技巧
jnqs	摖
jnqv	急切
jnqy	撽
jnre	䁒
jnre	䐕
jnre	䐚
jnrf	肌
jnrj	䐀
jnrj	记入
jnrk	䝸
jnrn	纪念日
jnrn	即日
jnro	既然
jnroieys	既然这样
jnrorjcn	既然如此
jnrr	膌
jnrs	暩
jnrt	肌肉
jnrt	鸡肉
jnru	积弱
jnrz	几人
jnrzinno	急人之难
jnrzlnxw	寄人篱下
jnrztcxg	吉人天相
jnrzznyttcxg	吉人自有天相
