;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
arij	按住
arin	桉
arin	䯃
arin	安置
arinfpfj	安知非福
arinrusj	安之若素
ario	䮗
ariq	暗中
ariqmusu	暗中摸索
arir	闇
ariu	安卓
arizehwu	安枕而卧
arizwjyt	安枕无忧
arjc	啽
arjc	按键
arjcnofs	暗箭难防
arjcusrz	暗箭伤人
arjd	唵
arjh	案卷
arjj	安居
arjjleye	安居乐业
arjl	安静
arjlle	安静了
arjn	咹
arjn	按季
arjnsh	氨基酸
arjr	暗礁
arjv	按揭
arjw	安家
arjwluhj	安家落户
arkd	㞄
arkk	暗亏
arko	雸
arkr	谙
arks	安康
arla	䅁
arlafzpp	按劳分配
arlaqjvt	按劳取酬
arlb	暗流
arlc	暗恋
arld	痷
arle	䢿
arle	安乐
arlesn	安乐死
arlewu	安乐窝
arli	案
arli	䀂
arlk	暗绿
arll	按铃
arln	安
arln	案例
arln	按理
arlnhk	安理会
arlnuu	按理说
arlo	鞌
arly	安拉
armc	安眠
armcya	安眠药
armg	厂
armm	安民
armn	鮟
armn	安谧
armu	按摩
army	鞍马
armyladd	鞍马劳顿
armz	暗门
arnb	按钮
arnc	媕
arnc	按年
arni	安能
arnk	㜝
arnl	安宁
arno	㸩
arnr	㛺
arny	按捺
arnybjij	按捺不住
aroa	䯥
arod	庵
aron	鞍
arpmleda	安贫乐道
arpo	貋
arpo	豻
arpp	安培
arpx	安排
arqcmyht	鞍前马后
arqh	安全
arqhdnyn	安全第一
arqhgo	安全感
arqhjj	安全局
arqhxl	安全性
arql	案情
arqm	安寝
arqn	按
arqn	按期
arqn	暗器
arqr	揞
arrd	䁆
arrd	晻
arrjtxuo	安如泰山
arrm	安然入眠
arrn	胺
arrn	㫨
arrn	按日
arro	安然
arro	黯然
arrorjmc	安然入眠
arrorjuk	安然入睡
arrounse	黯然失色
arrouzus	黯然神伤
arrowjun	安然无事
arrowjys	安然无恙
arroxrhd	黯然销魂
arroznru	安然自若
arrr	暗
arrr	腤
arrt	按揉
arru	安然入睡
arsh	暗算
arsqqbbu	暗送秋波
arsu	暗锁
artjsujn	按图索骥
artjui	安徒生
artl	傲然挺立
arto	厈
arto	暗探
artp	㱘
artqkhqj	暗通款曲
artt	案头
artu	安妥
artu	安如泰山
artx	安泰
arua	暗哨
arue	安设
arui	安生
aruj	谙熟
aruk	安睡
arun	氨
arun	暗示
arun	按时
aruninlh	安史之乱
aruo	犴
aruo	鞍山
arus	岸上
arus	黯然失色
aruu	按说
aruu	黯然神伤
aruy	暗杀
aruz	安神
aruzindn	安身之地
aruzinsu	安身之所
aruzinvj	安身之处
aruzlnml	安身立命
arva	暗潮
arvaxqyq	暗潮汹涌
arvd	㞄
arvd	鹌鹑
arvg	暗疮
arvj	暗处
arvs	暗娼
arvsln	按常理
arvslnlxuu	按常理来说
arvy	安插
arvz	暗沉
arwd	埯
arwd	㽢
arwjtcrn	暗无天日
arwn	垵
arwo	堓
arwp	安慰
arwu	安然无事
arwy	安然无恙
arwz	安稳
arxa	儑
arxc	暗线
arxd	俺
arxg	安详
arxgcazu	暗箱操作
arxgujyl	暗香疏影
arxgwonc	安享晚年
arxh	黯然销魂
arxi	盦
arxi	盫
arxjfzpp	按需分配
arxm	安心
arxn	侒
arxn	安息
arxq	䨄
arxr	韽
arxr	偣
arxr	暗笑
arxs	䎏
arxv	安歇
arxw	按下
arxwhjljqnlxpr	按下葫芦起来瓢
arya	䜙
arye	暗夜
aryf	按月
aryg	諳
aryj	誝
aryj	暗语
aryjxcig	安于现状
aryl	暗影
aryl	傲然屹立
aryliyix	安营扎寨
aryn	安逸
aryo	玵
aryy	按压
arzn	暗自
arzn	案子
arznqlxl	暗自庆幸
arzr	安然自若
arzs	安葬
arzu	安坐
as	昂
as	肮
as	盎
as	卬
as	仰
as	骯
as	㦹
as	㭿
as	㼜
as	䀚
as	䍩
as	䒢
as	䩕
as	䬓
as	䭹
as	䭺
as	岇
as	昻
as	枊
as	醠
asbj	阿塞拜疆
asce	䒢
asee	岇
asey	埃塞俄比亚
asfr	䬓
asge	卬
asgk	昂贵
asie	㭿
asie	䭹
asie	枊
asif	䭺
asjm	爱斯基摩
aski	盎
aski	醠
asky	㼜
asky	䍩
asky	奥斯卡
aslj	奥斯陆
asoe	䩕
asof	骯
aspl	阿司匹林
asqb	暗送秋波
asqn	昂起
asre	昂
asre	䀚
asre	昻
asrf	肮
asro	㦹
asro	盎然
assn	盎司
asut	昂首
asutkubj	昂首阔步
asuttlxq	昂首挺胸
asxe	仰
asys	昂扬
aszs	肮脏
atbp	凹凸不平
atjl	凹透镜
atkq	暗通款曲
atsj	按图索骥
atui	安徒生
atyi	凹凸有致
atyj	哀痛欲绝
au	奥
au	澳
au	傲
au	熬
au	凹
au	懊
au	鳌
au	袄
au	敖
au	拗
au	嗷
au	翱
au	坳
au	鏖
au	遨
au	媪
au	鏊
au	骜
au	螯
au	獒
au	岙
au	聱
au	廒
au	隩
au	奡
au	璈
au	嶅
au	嚣
au	鰲
au	鼇
au	鏕
au	襖
au	謸
au	驁
au	㑃
au	㕭
au	㘬
au	㘭
au	㜜
au	㜩
au	㟼
au	㠂
au	㠗
au	㤇
au	㥿
au	㿰
au	䐿
au	䚫
au	䜒
au	䞝
au	䥝
au	䦋
au	䫨
au	䮯
au	䯠
au	䴈
au	䵅
au	厫
au	嗸
au	垇
au	墺
au	墽
au	奧
au	媼
au	嫯
au	岰
au	嶴
au	慠
au	扷
au	抝
au	摮
au	擙
au	柪
au	梎
au	泑
au	滶
au	澚
au	熝
au	爊
au	獓
au	眑
au	磝
au	翶
au	翺
au	艹
au	芺
au	蔜
au	謷
au	軪
au	郩
au	镺
au	隞
au	鷔
au	䫜
auaa	爊
auaj	碍手碍脚
aual	熝
auar	傲岸
auau	嗷嗷
auaudxbj	嗷嗷待哺
aubjgu	熬不过
aubjgu	拗不过
aubjij	熬不住
aubm	凹
aubu	爱说不说
auca	凹槽
auck	芺
aucy	蔜
auda	熬到
audb	泑
audd	澳
audn	奥迪
audnln	奥地利
audp	澚
audy	滶
audylnyy	澳大利亚
aueb	岰
aued	隩
aued	㠗
auel	䫜
auey	㟼
auey	㠂
auey	隞
aufl	鏕
aufl	䥝
augd	奥
augd	襖
augd	奧
auge	嶴
augiutye	熬更守夜
augj	傲骨
augk	袄
augn	䴈
augu	熬过
auhk	懊悔
auhz	凹痕
auib	柪
auid	安身之地
auij	熬煮
auil	梎
auil	安史之乱
auin	熬制
auio	鏖战
auis	安身之所
auit	澳洲
auiv	安身之处
auiy	䮯
aujj	嚣
aujk	㕭
aujy	嗷
aukb	昂首阔步
auke	岙
aukt	拗口
aulk	䚫
aulm	安身立命
aulmpnke	奥林匹克
aulngp	奥力给
auls	翱
